Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
CROCC2,-4.548335722,-1.374309845,139.4616312,1.89E-22,2.69E-18,79.91204383,1,17.56951305,Downregulated
ENHO,-4.92531899,-0.100858919,127.8064628,1.11E-18,5.26E-15,70.32839476,2,14.27895227,Downregulated
IL4,-3.61493836,-1.719796988,127.6034072,1.25E-20,8.91E-17,58.02072935,3,16.05026796,Downregulated
SHD,-4.066736155,-2.508370452,97.54855358,1.70E-16,4.03E-13,50.40708133,4,12.39497214,Downregulated
SLC4A3,-3.572071851,-1.816848879,103.8521921,3.94E-18,1.40E-14,49.48202004,5,13.85247053,Downregulated
LYPD2,-4.219333997,-1.083353133,78.88328973,1.75E-14,2.08E-11,45.0719508,7,10.68224294,Downregulated
IGFBP6,-3.409282883,-1.82428232,97.11000217,3.59E-17,1.02E-13,44.28502612,8,12.98954286,Downregulated
IL34,-3.775552023,-2.004937892,80.38960741,1.88E-15,2.96E-12,43.52851299,9,11.52904601,Downregulated
ZDHHC1,-3.447602733,-0.30003109,108.8386957,1.32E-15,2.68E-12,39.89443483,10,11.57164497,Downregulated
CRIP2,-3.852749451,1.199783518,88.80578456,2.00E-13,1.36E-10,38.01601086,12,9.867241912,Downregulated
PPP1R17,-3.759697016,-0.980621119,75.53516867,1.71E-13,1.22E-10,37.27177341,14,9.913504532,Downregulated
DCANP1,-3.194011786,-1.755755595,85.60500885,2.08E-15,2.96E-12,36.82390884,16,11.52904601,Downregulated
TIFAB,-3.213975306,-1.162764455,88.86677031,9.99E-15,1.29E-11,34.99356063,22,10.88793699,Downregulated
PNMA6A,-3.301115946,-1.347862088,80.44687983,3.53E-14,3.36E-11,34.57664964,23,10.4742306,Downregulated
SEZ6L,-3.266563238,-1.429031601,79.6921745,3.38E-14,3.36E-11,34.21473661,28,10.4742306,Downregulated
FXYD7,-3.237113319,-0.725504002,85.43004618,8.62E-14,7.22E-11,32.82847734,36,10.14128148,Downregulated
LRRC36,-3.235917747,-2.542653511,67.97855047,1.29E-13,9.67E-11,32.40562572,40,10.01435396,Downregulated
CACNG6,-3.586637898,-0.161357882,70.1091796,6.06E-12,1.49E-09,31.65840203,42,8.826762816,Downregulated
PLD4,-3.287834671,1.513235983,80.10641204,1.21E-12,4.52E-10,30.72361627,48,9.344635405,Downregulated
OLFM1,-3.555464125,-0.126298496,65.14075825,2.19E-11,4.14E-09,29.80459653,53,8.382758335,Downregulated
UPK3A,-3.158674456,0.196638551,76.96234847,2.16E-12,7.34E-10,28.85196224,58,9.134199374,Downregulated
TPPP3,-3.69637077,2.300909407,59.95261427,1.32E-10,1.74E-08,28.67982686,60,7.758915068,Downregulated
SELENOM,-2.967931975,0.87232887,82.00299117,8.27E-13,3.68E-10,27.99866357,66,9.433728201,Downregulated
PRSS33,-4.279959218,2.702867343,45.32709521,7.03E-09,3.03E-07,27.90064047,67,6.518903346,Downregulated
SLC18A1,-2.870787955,-2.446628619,59.69833119,1.96E-12,6.82E-10,26.31466654,77,9.166356749,Downregulated
TNFRSF4,-2.673230388,0.544270712,81.04638101,1.02E-12,4.26E-10,25.04926617,82,9.370410526,Downregulated
SARDH,-2.547237632,-0.563305164,83.58982348,3.53E-13,1.94E-10,24.74159099,87,9.713106731,Downregulated
DNASE1L3,-2.686723963,-0.900547883,71.48012866,3.07E-12,8.58E-10,24.35892427,91,9.066403773,Downregulated
SYT17,-2.621937541,-0.179912531,76.07772013,2.53E-12,8.20E-10,23.82305407,94,9.08604942,Downregulated
CD248,-2.784496283,-0.893116486,63.58182953,2.21E-11,4.14E-09,23.34175943,97,8.382758335,Downregulated
FLT3LG,-2.668425064,3.569502892,70.41414202,9.74E-12,2.17E-09,23.11841026,99,8.663691019,Downregulated
NEURL1,-3.101443181,1.259868834,54.59914705,5.48E-10,4.85E-08,22.68435056,102,7.314127401,Downregulated
SLC12A3,-2.633779639,-2.322142094,55.39025684,1.21E-11,2.46E-09,22.67528189,103,8.609407391,Downregulated
AHNAK2,-2.330072692,-1.843898841,67.7036353,1.08E-12,4.41E-10,21.79984224,110,9.355863581,Downregulated
RYR1,-2.234656209,0.567402372,84.21556949,5.16E-13,2.54E-10,21.44266884,113,9.595511272,Downregulated
GATA3,-2.401194328,2.241656278,71.04234916,8.57E-12,1.94E-09,20.92027408,116,8.712445234,Downregulated
GZMM,-2.950695265,2.405362829,51.60753065,1.17E-09,8.58E-08,20.85071976,117,7.066375173,Downregulated
RNF207,-2.185550275,-0.426806013,82.43271713,6.16E-13,2.93E-10,20.83605112,118,9.533549219,Downregulated
NOG,-2.847867419,-0.811220175,51.58873832,6.55E-10,5.56E-08,20.66171644,120,7.255153909,Downregulated
SORBS3,-2.427841011,2.306829183,68.17381031,1.68E-11,3.24E-09,20.610732,121,8.489325254,Downregulated
NPDC1,-2.729319442,1.470468816,57.05294117,2.81E-10,2.98E-08,20.53882821,124,7.525256258,Downregulated
P2RX6,-2.470386223,-1.355764374,60.38840016,2.80E-11,4.92E-09,20.52319659,125,8.307687436,Downregulated
SFTPD,-3.029437005,-0.711272759,45.10958309,4.38E-09,2.18E-07,20.18000173,129,6.661304292,Downregulated
ANO9,-2.623733108,3.678142339,58.90052227,1.65E-10,2.04E-08,20.17551202,130,7.689620549,Downregulated
CROCC,-2.246550404,1.878241826,73.67780977,4.72E-12,1.21E-09,20.03324397,131,8.917335634,Downregulated
TMIE,-2.415876515,-1.263798259,61.0546282,3.08E-11,5.29E-09,19.99484593,133,8.276435408,Downregulated
PI16,-2.721772138,1.598453282,54.57746584,5.35E-10,4.77E-08,19.92821341,134,7.321778752,Downregulated
NOXA1,-2.591264778,0.526435403,57.93456941,2.32E-10,2.60E-08,19.65447615,143,7.584896885,Downregulated
CYP4F22,-2.857065197,0.064724012,49.15050029,2.28E-09,1.41E-07,19.57428115,144,6.851184626,Downregulated
LYNX1,-3.07342899,0.74236626,43.76712097,1.15E-08,4.35E-07,19.5520078,145,6.361626661,Downregulated
ZNF703,-3.151662492,1.587861026,41.49546458,2.22E-08,7.22E-07,19.35639761,148,6.141646721,Downregulated
LTB,-2.102712782,7.066601074,75.93125027,2.73E-12,8.32E-10,19.09196009,152,9.079680429,Downregulated
PRSS41,-2.831790011,-2.249010548,40.20091647,3.46E-09,1.83E-07,19.08212875,153,6.738539465,Downregulated
TNNC1,-2.438340767,-0.972616039,57.98267776,1.12E-10,1.52E-08,19.06136772,155,7.817351856,Downregulated
HTR6,-2.613986486,-1.327262622,49.801011,6.26E-10,5.34E-08,19.0099123,157,7.272383542,Downregulated
RPLP2,-2.465582526,8.267430796,58.85608716,1.66E-10,2.04E-08,18.96250108,159,7.690880704,Downregulated
NDRG2,-2.159402692,2.05126724,71.77387196,7.25E-12,1.71E-09,18.93145938,161,8.766988876,Downregulated
SLC44A5,-2.877029648,-1.284756243,42.50221923,5.78E-09,2.64E-07,18.92629712,162,6.578415739,Downregulated
FCER2,-2.486664158,3.465086366,57.18620925,2.58E-10,2.78E-08,18.78902036,166,7.555913933,Downregulated
KCNG1,-2.594073289,-1.832770388,46.55576533,7.51E-10,6.12E-08,18.71189628,169,7.213325992,Downregulated
PNMA3,-2.383811106,0.706344667,60.8711048,1.09E-10,1.49E-08,18.65477137,170,7.825608042,Downregulated
PKIB,-2.510133488,-1.253816965,51.90489719,3.97E-10,3.85E-08,18.61078073,173,7.414259367,Downregulated
