Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
OBSL1,-2.401887173,-1.810019183,77.0223752,2.69E-13,3.83E-09,20.21699652,3,8.417129975,Downregulated
VMO1,-3.232977955,-0.964845761,49.87647409,1.02E-09,2.07E-06,18.37743193,8,5.684366606,Downregulated
HBQ1,-3.004469471,-0.082304282,43.50767091,1.13E-08,5.77E-06,15.73940987,18,5.238665269,Downregulated
ENHO,-2.936169547,0.309570673,44.76080321,7.98E-09,4.61E-06,15.66791108,19,5.336173823,Downregulated
CROCC2,-2.677580267,-1.016489768,46.01898304,4.12E-09,3.67E-06,14.55244523,29,5.434923993,Downregulated
IL4,-2.100993614,-1.310570278,50.87723174,9.56E-10,2.07E-06,11.94281794,60,5.684366606,Downregulated
ARHGAP44,-2.206935281,-0.931977651,45.73468421,5.29E-09,4.02E-06,11.90807642,61,5.395752438,Downregulated
PRRG3,-1.988935874,-1.893889373,52.3168954,3.00E-10,1.43E-06,11.62621734,64,5.845446045,Downregulated
KRT7,-2.291455667,-1.503079866,38.71061425,3.18E-08,9.44E-06,11.51433926,67,5.024901606,Downregulated
TNNC1,-2.02404931,-0.848393855,44.48365011,8.09E-09,4.61E-06,10.80067894,77,5.336173823,Downregulated
TPPP3,-2.343395435,2.770929599,33.49924349,2.55E-07,3.37E-05,10.48043874,82,4.472330441,Downregulated
LYNX1,-2.230570399,1.057341402,35.51651889,1.34E-07,2.30E-05,10.34629104,87,4.638405963,Downregulated
BATF3,-1.787453116,1.558627017,53.11376691,7.00E-10,1.99E-06,10.18898096,90,5.700278719,Downregulated
MMP17,-1.82874163,1.164928415,47.63211311,3.28E-09,3.93E-06,9.885701986,97,5.405740114,Downregulated
ZG16B,-1.948682609,0.523700641,39.62697051,3.68E-08,9.89E-06,9.752993765,101,5.004916512,Downregulated
FCER2,-2.13479161,3.618792995,33.46646989,2.58E-07,3.37E-05,9.547210277,103,4.47219777,Downregulated
SHD,-1.975082698,-2.123873096,33.85472334,1.02E-07,1.91E-05,9.318856821,109,4.718210954,Downregulated
SFTPD,-2.07642477,-0.391344003,32.62162713,3.57E-07,4.17E-05,9.093990978,113,4.379639036,Downregulated
GSTA1,-2.262697363,-1.450022881,26.97276374,2.00E-06,0.000106635,8.987662271,115,3.972100917,Downregulated
NOXA1,-1.957695516,0.798679148,34.49708723,1.88E-07,2.75E-05,8.927582429,116,4.560250743,Downregulated
P3H3,-1.949790399,-0.186761467,34.55195517,1.89E-07,2.75E-05,8.891533116,117,4.560250743,Downregulated
EBI3,-2.017120654,-2.043836744,29.54505067,5.43E-07,4.94E-05,8.686247856,119,4.306260926,Downregulated
SLC4A3,-1.830651541,-1.305265649,35.23241255,1.27E-07,2.24E-05,8.511039261,127,4.649185861,Downregulated
CRIP2,-2.547798657,1.61938287,19.83898192,3.62E-05,0.000480455,8.454480824,129,3.318347311,Downregulated
CDKN1C,-2.099985721,2.317309853,27.7194459,1.87E-06,0.000103261,8.370674597,131,3.986062626,Downregulated
FNDC10,-2.116602865,1.130258773,26.2596908,3.20E-06,0.000135608,8.186417282,137,3.867715299,Downregulated
RPL8,-1.730802518,9.464973824,36.16620885,1.06E-07,1.97E-05,8.146102863,140,4.706546691,Downregulated
PLD4,-1.954578198,2.066776004,29.83704045,8.90E-07,6.82E-05,8.143502217,141,4.166373199,Downregulated
LYPD2,-2.477305148,-0.640575736,18.92929785,5.16E-05,0.000573212,8.030642429,145,3.241684795,Downregulated
PPP1R17,-2.247070969,-0.559391407,22.46052393,1.32E-05,0.000277003,7.993990242,147,3.557515695,Downregulated
ZNF358,-1.808296422,1.678345235,32.36691049,3.75E-07,4.21E-05,7.911691941,148,4.37521849,Downregulated
SYT17,-1.8219385,0.152200316,31.95414067,4.45E-07,4.59E-05,7.90376898,149,4.338109645,Downregulated
TNNI2,-1.717131301,3.026195048,34.12962864,2.07E-07,2.89E-05,7.793830319,152,4.538866837,Downregulated
NEURL1,-1.797604125,1.831950358,31.66863483,4.75E-07,4.66E-05,7.785839795,153,4.331231602,Downregulated
SAMD11,-2.000779273,0.767296469,26.38206522,3.07E-06,0.000132052,7.76152982,154,3.879253411,Downregulated
TPGS1,-1.951850159,-1.820005017,26.45107983,2.10E-06,0.000107443,7.746549427,156,3.968823831,Downregulated
SLC39A4,-1.793347614,-0.087595626,31.24410662,5.70E-07,5.03E-05,7.708333412,157,4.298292953,Downregulated
ZDHHC1,-1.916744425,0.274686811,27.5361728,2.05E-06,0.000106484,7.614681391,159,3.972716077,Downregulated
DES,-1.924594067,-0.316702109,26.83877073,2.65E-06,0.000120849,7.540089114,161,3.917755563,Downregulated
ZNF703,-1.954439243,2.092486404,25.25074222,4.58E-06,0.000159651,7.420672324,166,3.796829373,Downregulated
DENND6B,-1.579901483,2.271134584,35.19513856,1.46E-07,2.34E-05,7.316721168,169,4.631124944,Downregulated
FBP1,-1.33943175,4.78971772,47.52163209,3.32E-09,3.49E-06,7.30977001,170,5.457366538,Downregulated
FUOM,-1.90958372,2.426361427,25.71598058,3.86E-06,0.000151091,7.296062097,171,3.820760526,Downregulated
P2RY11,-1.912936373,2.235258473,23.74180591,8.02E-06,0.000223755,6.982652516,177,3.650227271,Downregulated
METTL26,-1.748827654,3.853563077,27.6776867,1.90E-06,0.000103209,6.971320537,178,3.986282193,Downregulated
SELENOM,-1.908313731,1.328867421,23.43372005,9.05E-06,0.000235269,6.924194405,180,3.628436086,Downregulated
STK32C,-1.380963142,3.025859395,39.79191589,3.36E-08,9.78E-06,6.918152132,181,5.009657333,Downregulated
ATOH8,-1.990714631,0.914196306,21.43061412,1.95E-05,0.000340234,6.904239983,182,3.46822185,Downregulated
FXYD5,-1.496258374,7.718892907,34.90164728,1.60E-07,2.48E-05,6.890110011,184,4.6048932,Downregulated
JOSD2,-1.8154588,1.596029414,25.07334252,4.90E-06,0.000164063,6.871490376,186,3.784988331,Downregulated
IL34,-2.17734299,-1.643104136,17.72099924,7.28E-05,0.000714592,6.849794425,188,3.145941847,Downregulated
VEGFB,-1.696174783,3.266051613,27.85136784,1.78E-06,0.000101286,6.775284775,189,3.994449655,Downregulated
FAM20C,-1.343679606,2.607656914,40.12333313,3.04E-08,9.61E-06,6.741359363,191,5.017088397,Downregulated
CAPS,-1.771879667,2.383399948,25.48831135,4.19E-06,0.000156862,6.74108532,192,3.804482575,Downregulated
FOLR2,-1.393753115,2.020990991,37.46233076,7.03E-08,1.47E-05,6.73431952,194,4.831787959,Downregulated
CBARP,-1.642807083,-1.507812193,28.70102768,1.14E-06,8.06E-05,6.724955594,195,4.093575966,Downregulated
SPATA2L,-1.634030477,2.617352454,29.16624295,1.12E-06,7.95E-05,6.698498675,198,4.099371933,Downregulated
IGFBP6,-2.041931472,-1.43750089,18.75225498,5.05E-05,0.000567844,6.627642463,202,3.245771249,Downregulated
GPSM1,-1.519406258,-0.322058473,32.04786312,4.35E-07,4.56E-05,6.596036329,207,4.341193341,Downregulated
NOP53,-1.675377565,6.893491787,26.90482568,2.50E-06,0.000116993,6.587319632,209,3.931841854,Downregulated
ZNF524,-1.688388625,2.865953312,26.32462148,3.09E-06,0.000131846,6.550832087,211,3.879931427,Downregulated
C2orf81,-1.623325143,0.018256018,28.34371153,1.55E-06,9.51E-05,6.528646807,212,4.021773971,Downregulated
LTB,-1.625533576,7.324743464,27.91471736,1.74E-06,0.000100184,6.500837329,213,3.999202124,Downregulated
SLC27A1,-1.450771632,3.446268157,32.90496408,3.11E-07,3.76E-05,6.419833101,215,4.425116234,Downregulated
FAAH,-1.599976059,3.065644269,28.088276,1.64E-06,9.74E-05,6.418002501,216,4.011311585,Downregulated
SLC2A6,-1.425174101,4.349800978,33.74163968,2.35E-07,3.24E-05,6.397875194,217,4.489188506,Downregulated
TCAP,-1.58276655,0.07514901,28.69324631,1.37E-06,9.08E-05,6.39763069,218,4.042055786,Downregulated
NAPRT,-1.662657465,4.834744445,25.85800911,3.66E-06,0.000146168,6.376534802,219,3.835146407,Downregulated
RPL13,-1.675484526,9.472439081,25.42069537,4.29E-06,0.000156967,6.373866264,220,3.804192856,Downregulated
EEF1D,-1.598706246,8.211818671,27.73008848,1.86E-06,0.00010365,6.369931243,221,3.984428822,Downregulated
ALKBH7,-1.78045428,2.707971747,22.50698126,1.28E-05,0.000272199,6.347520376,222,3.565112818,Downregulated
NPDC1,-1.822042929,1.894093479,21.47341645,1.90E-05,0.00033688,6.3270883,224,3.472524273,Downregulated
RPL18A,-1.716162907,8.179490992,24.13833648,6.90E-06,0.000207041,6.322247671,225,3.683943782,Downregulated
NUCB1,-1.44197185,6.962741494,32.22754703,3.91E-07,4.24E-05,6.30552534,227,4.372849123,Downregulated
RPLP2,-1.84165218,8.576108945,20.89383712,2.38E-05,0.000381217,6.296292102,229,3.418828034,Downregulated
BRAT1,-1.427124849,4.118557221,31.9356991,4.31E-07,4.55E-05,6.196062657,235,4.34164023,Downregulated
SCAND1,-1.6867061,2.836657157,24.01189297,7.24E-06,0.000214036,6.189390833,236,3.669513517,Downregulated
H2BK1,-1.511405787,-1.410841567,28.73580178,1.19E-06,8.33E-05,6.165361417,240,4.079223113,Downregulated
TPRN,-1.708393724,1.925752758,23.11232836,1.02E-05,0.000246223,6.165032202,241,3.608671769,Downregulated
FBXL15,-1.652216631,1.850210066,24.45941206,6.14E-06,0.000191097,6.144172765,242,3.71874526,Downregulated
TMEM141,-1.414939789,4.508272484,31.62707335,4.79E-07,4.68E-05,6.126897556,244,4.330147193,Downregulated
ZNF865,-1.310296666,3.46728552,35.78090832,1.20E-07,2.17E-05,6.110244621,245,4.66325282,Downregulated
ATP5F1D,-2.001028427,3.443516692,17.1698366,0.000105649,0.00089095,6.103430005,246,3.050146576,Downregulated
DNASE1L3,-1.709593695,-0.502981939,22.65616408,1.24E-05,0.000269407,6.102551543,247,3.569591747,Downregulated
ZNF579,-1.618620557,0.101945923,24.9086999,5.32E-06,0.000174714,6.082244298,250,3.757671476,Downregulated
PTPRS,-1.54192877,0.859852501,27.00787692,2.44E-06,0.000115263,6.072595772,251,3.938311478,Downregulated
TNFRSF4,-1.59837002,1.062545362,25.37143209,4.41E-06,0.00015958,6.069046433,253,3.79702219,Downregulated
RPS2,-1.498089423,8.686371573,28.53530587,1.40E-06,9.11E-05,6.053168714,256,4.040592384,Downregulated
PGLS,-1.360029257,5.581199672,33.14930653,2.87E-07,3.57E-05,6.048947191,257,4.447659606,Downregulated
PPAN-P2RY11,-1.640989067,3.011871269,23.86880537,7.64E-06,0.000218515,6.006871043,261,3.660518625,Downregulated
NDUFS7,-1.836814433,2.636688696,19.19007641,4.66E-05,0.000543977,5.996133148,262,3.26441966,Downregulated
MFSD3,-1.649404778,1.302301234,23.46600688,8.93E-06,0.000234428,5.987322693,263,3.629989906,Downregulated
MMP11,-1.513768364,-0.47472533,27.16089528,2.37E-06,0.000112207,5.979356066,264,3.949980862,Downregulated
DCANP1,-1.483515151,-1.161236034,28.32095761,1.49E-06,9.37E-05,5.975867218,265,4.02818078,Downregulated
SLC15A3,-1.209717972,6.03536256,38.54558707,4.97E-08,1.16E-05,5.971889819,266,4.936596758,Downregulated
RPLP1,-1.726114823,8.582441039,21.28112694,2.05E-05,0.000349557,5.966285299,267,3.456482279,Downregulated
CBR3,-1.697597995,0.825471568,21.95615538,1.59E-05,0.000308025,5.960969551,269,3.511414109,Downregulated
RPS28,-1.895448837,6.5788816,18.03350293,7.42E-05,0.000721004,5.955618383,270,3.142062326,Downregulated
TP53I13,-1.559693463,3.786530177,25.5705472,4.06E-06,0.000155293,5.940634981,272,3.808847778,Downregulated
GPR35,-1.304530403,1.916081549,34.31728998,1.95E-07,2.81E-05,5.937827466,273,4.551697263,Downregulated
JUNB,-1.470600503,7.158748449,28.42832713,1.45E-06,9.24E-05,5.932572051,274,4.034115341,Downregulated
DPP7,-1.752093085,5.176344856,20.39689635,2.89E-05,0.000421312,5.914008041,275,3.37539603,Downregulated
