Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
FCER1A,-5.415120567,4.428368814,243.2324247,3.66E-12,2.33E-08,41.3304563,6,7.632416636,Downregulated
TRIM64B,-6.942367504,-1.255488923,82.01856726,8.45E-07,1.68E-05,33.14572136,9,4.774411804,Downregulated
LRRN3,-6.019267051,4.166020442,76.35611354,5.32E-08,3.61E-06,32.76185186,10,5.44283076,Downregulated
SIGLEC8,-5.64956507,1.580011522,73.26439116,2.22E-08,2.42E-06,31.73222389,11,5.616755184,Downregulated
PRSS33,-5.254113568,1.424015248,78.50115719,1.82E-08,2.23E-06,29.69214924,12,5.651219536,Downregulated
CACNG6,-4.593659582,-0.75175179,75.252273,6.61E-10,4.01E-07,29.38396092,13,6.396634402,Downregulated
KRT5,-6.431596847,-0.780041979,48.64935778,1.85E-06,2.75E-05,29.33210658,14,4.560625809,Downregulated
PTGDR2,-4.783515167,1.665944024,113.7633265,1.99E-09,7.46E-07,29.30927529,15,6.127141707,Downregulated
ALOX15,-5.636591238,2.863117079,62.22243067,2.44E-07,8.19E-06,28.67189245,16,5.086743254,Downregulated
AKAP12,-3.986038965,2.094523128,171.4054029,8.23E-11,1.31E-07,27.43438137,22,6.882617459,Downregulated
CPA3,-3.984854413,1.905008704,147.9900747,2.87E-10,2.28E-07,26.46470371,25,6.641322609,Downregulated
MS4A2,-4.162790659,2.49615031,117.4559312,1.81E-09,7.43E-07,25.51456233,27,6.129196595,Downregulated
FGFR2,-4.617729423,-0.020142947,53.91118283,8.58E-08,4.50E-06,24.68937687,31,5.346648668,Downregulated
SEZ6L,-3.801105777,0.282795725,126.7243151,4.39E-10,3.29E-07,24.64340445,32,6.483219858,Downregulated
GATA2,-3.311914957,2.544846564,177.9662217,5.36E-11,9.75E-08,23.21936526,40,7.010857935,Downregulated
NOG,-4.71314622,-0.053387352,42.94641466,4.97E-07,1.22E-05,23.16396001,41,4.914755225,Downregulated
