Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
CROCC2,-4.548335722,-1.374309845,139.4616312,1.89e-22,6.60933e-19,82.68802735198275,1,17.56951305,Downregulated,18.17984256351751
ENHO,-4.92531899,-0.100858919,127.8064628,1.11e-18,1.2938900000000002e-15,73.32865467570932,2,14.27895227,Downregulated,14.88810264362376
IL4,-3.61493836,-1.7197969880000001,127.60340719999999,1.25e-20,2.185625e-17,60.22640707794629,3,16.05026796,Downregulated,16.66042435034668
PCSK9,7.179851772999999,2.3840206840000002,46.14517238,2.1600000000000004e-09,3.417882352941177e-08,53.60651725303014,4,6.866796981,Upregulated,7.466242890224935
SHD,-4.066736155,-2.508370452,97.54855358,1.7e-16,9.908166666666667e-14,52.88386419331625,5,12.39497214,Downregulated,13.004006696696125
SLC4A3,-3.572071851,-1.8168488790000001,103.8521921,3.94e-18,3.444545e-15,51.662404157592434,6,13.85247053,Downregulated,14.462868137193144
LYPD2,-4.219333997,-1.083353133,78.88328973,1.75e-14,5.099791666666667e-12,47.64660792056413,7,10.68224294,Downregulated,11.292447565052086
IGFBP6,-3.409282883,-1.82428232,97.11000217,3.59e-17,2.510846e-14,46.366860618733064,8,12.98954286,Downregulated,13.600179923448454
IL34,-3.775552023,-2.004937892,80.38960741,1.88e-15,7.273759999999999e-13,45.82856048677778,9,11.52904601,Downregulated,12.138241032727993
ZDHHC1,-3.447602733,-0.30003109,108.83869569999999,1.32e-15,6.594342857142857e-13,41.99465754578274,10,11.57164497,Downregulated,12.180828476499162
TOP2A,3.961832098,3.7858971439999998,84.18165327,4.610000000000001e-13,5.970803703703704e-11,40.505641447452994,11,9.613476409,Upregulated,10.223967206460095
CRIP2,-3.852749451,1.199783518,88.80578456,2e-13,3.330476190476191e-11,40.36715797246824,12,9.867241912,Downregulated,10.477493666760694
MAOA,7.24730165,5.888321562000001,30.01094366,8.77e-07,2.85025e-06,40.18713591441922,13,4.963297495,Upregulated,5.545117045655085
SDC1,5.746970012,1.637247132,41.43072136,1.16e-08,1.0963567567567566e-07,39.999187727322195,14,6.357598013,Upregulated,6.960048102530832
PPP1R17,-3.759697016,-0.980621119,75.53516867,1.7100000000000003e-13,2.989935e-11,39.56832312503808,15,9.913504532000001,Downregulated,10.524338252962583
RRM2,3.53231955,4.887626531,98.42335153,2.55e-14,6.8595e-12,39.43378239248303,16,10.55268123,Upregulated,11.163707539563637
DIAPH3,3.804727803,-0.173845366,79.37398634,3.2799999999999997e-13,4.5880639999999995e-11,39.33468580329361,17,9.728749557999999,Upregulated,10.338370532651114
DCANP1,-3.1940117860000004,-1.755755595,85.60500885,2.08e-15,7.273759999999999e-13,38.76968491984203,18,11.52904601,Downregulated,12.138241032727993
KIF4A,4.058284695,1.577320896,70.92539729,7.32e-12,4.1964000000000006e-10,38.05503524769494,19,8.766988876000001,Upregulated,9.37712312164313
ASPM,3.617575255,2.308353041,87.41419395,2.37e-13,3.7672227272727274e-11,37.709527412821345,20,9.814405461,Upregulated,10.423978702502858
MCM10,3.69950845,1.178814895,81.56396438,6.47e-13,7.298577419354839e-11,37.501035863915035,21,9.526625768999999,Upregulated,10.136761780856327
TIFAB,-3.213975306,-1.162764455,88.86677031,9.99e-15,3.1759118181818186e-12,36.95471091383746,22,10.88793699,Downregulated,11.498131564622998
OLFM4,6.305671981000001,8.037805547,32.66538866,3.5399999999999997e-07,1.4083481228668942e-06,36.896315284250306,23,5.2581068460000004,Upregulated,5.8512899807387395
HMMR,3.974457699,2.076010871,70.15565832,1.0100000000000001e-11,5.404454545454545e-10,36.83228568466711,24,8.656642279,Upregulated,9.267248131470707
BUB1B,3.695194561,1.893953685,79.73371837,1.16e-12,1.0963567567567567e-10,36.8043155757703,25,9.348592665,Upregulated,9.960048102530832
E2F8,3.811160188,1.123617251,73.73795731,3.5099999999999998e-12,2.360475e-10,36.69004139698172,26,9.01700901,Upregulated,9.62700059485973
BUB1,3.5879014889999996,3.172461685,83.84642075,4.98e-13,6.219664285714285e-11,36.61895877968384,27,9.5959551,Upregulated,10.206233056273257
PNMA6A,-3.3011159460000004,-1.347862088,80.44687983,3.53e-14,8.229606666666666e-12,36.591618878862135,28,10.4742306,Downregulated,11.084620921358614
KIF14,3.6251744539999997,0.927623257,79.73481287,8.93e-13,9.46309393939394e-11,36.33862854757797,29,9.413759642,Upregulated,10.023966848680097
INHBA,5.195467075,2.043053605,42.90775647,1.08e-08,1.0347287671232877e-07,36.29123881115177,30,6.384121005,Upregulated,6.985173476660281
SEZ6L,-3.2665632380000003,-1.429031601,79.6921745,3.38e-14,8.229606666666666e-12,36.20861520887574,31,10.4742306,Downregulated,11.084620921358614
MMP8,5.911289787,8.796917757000001,34.89599964,1.7e-07,8.099318801089917e-07,36.008926205753305,32,5.497999054,Upregulated,6.0915515062285515
CDC25A,3.447815476,1.4394753869999999,86.76133886,2.51e-13,3.8162913043478256e-11,35.920577609539194,33,9.808148422999999,Upregulated,10.41835848222731
DEPDC1,3.875839945,1.083448657,68.23820768,1.23e-11,6.058183098591549e-10,35.72616554467743,34,8.607201101,Upregulated,9.217657604970432
DLGAP5,3.6606238639999997,2.493839407,74.28768442,4.0799999999999996e-12,2.6920301886792446e-10,35.03187780019526,35,8.959767892999999,Upregulated,9.569920074201665
SPC25,3.6765779139999997,0.8967134859999999,72.24076117,4.75e-12,2.9662053571428567e-10,35.029694582232075,36,8.917335634,Upregulated,9.52779878507209
SHCBP1,3.2825612239999997,2.858758485,90.89183907,1.1599999999999999e-13,2.2536222222222218e-11,34.949819594515674,37,10.03654411,Upregulated,10.647118883567144
MELK,3.376064753,1.322164772,85.70499331,3.11e-13,4.531529166666667e-11,34.921187413169555,38,9.734105105,Upregulated,10.343755220375524
FXYD7,-3.2371133189999997,-0.725504002,85.43004618,8.62e-14,1.773184705882353e-11,34.80300169768996,39,10.14128148,Downregulated,10.751246023244317
LRRC36,-3.235917747,-2.542653511,67.97855047,1.29e-13,2.3742789473684213e-11,34.37990538961461,40,10.01435396,Downregulated,10.624468258344335
ANLN,4.11323244,2.144007265,58.39366515,1.8200000000000002e-10,5.393677966101695e-09,34.00867878222714,41,7.657081494,Upregulated,8.268114987011806
CACNG6,-3.586637898,-0.16135788199999998,70.10917959999999,6.06e-12,3.6537620689655173e-10,33.84803342630721,42,8.826762816,Downregulated,9.437259737087407
NEK2,3.523785573,1.176556241,73.38632512,4.32e-12,2.7975999999999997e-10,33.663479010482604,43,8.943293776,Upregulated,9.553214380698812
CDC6,3.052240054,2.590317742,95.77066084,4.42e-14,9.6604625e-12,33.62043054651419,44,10.40523678,Upregulated,11.015002080997588
SKA3,3.471309549,0.97026322,74.70411707,3.03e-12,2.1050568627450977e-10,33.5909466642134,45,9.066403773,Upregulated,9.676736168311505
