Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
SDC1,5.021266261,0.919678268,29.87724613,6.13e-07,7.673368794326242e-06,25.683846863285886,1,4.275999922,Upregulated,5.1150139284131235
IFI27,5.722158327000001,7.665741478999999,23.25604139,9.61e-06,4.2724559193954663e-05,25.00195460812842,2,3.620766362,Upregulated,4.369322409370728
IGF1,4.6106776,-0.655199533,30.19655901,5.44e-07,7.112296296296296e-06,23.735722911458247,3,4.306260926,Upregulated,5.147990159072985
GLDC,4.441529698,2.025871182,32.10579081,3.93e-07,5.878347457627118e-06,23.232508137376758,4,4.375621959,Upregulated,5.230744747206857
TOP2A,3.4123335989999997,3.2541400030000003,57.58024256,2.1000000000000002e-10,1.765e-07,23.04435992963383,5,5.845446045,Upregulated,6.753255290276159
OBSL1,-2.401887173,-1.810019183,77.0223752,2.6899999999999996e-13,4.747849999999999e-10,22.394002287803406,6,8.417129975,Downregulated,9.32350301027375
PBK,3.499632358,0.39748843,43.83311447,7.94e-09,6.123782608695652e-07,21.743146669821044,7,5.324137529,Upregulated,6.212980234943022
VMO1,-3.232977955,-0.964845761,49.87647409,1.02e-09,2.571857142857143e-07,21.304526690414253,8,5.684366606,Downregulated,6.589753158528498
KIF4A,3.3132976239999996,0.851844403,47.17295217,3.4299999999999995e-09,4.3368571428571425e-07,21.081932568040525,9,5.485903883,Upregulated,6.362824883382866
HMMR,3.263854334,1.37911309,45.93905826,5.24e-09,5.492264705882353e-07,20.43253932795345,10,5.378132926,Upregulated,6.260248539619247
MCM10,3.298364815,0.790764974,42.41720011,1.4e-08,8.236666666666666e-07,20.068071208849315,11,5.189895148,Upregulated,6.084248509317583
DIAPH3,3.269657645,-0.6844912470000001,40.75682363,1.5e-08,8.540322580645161e-07,19.84200153080443,12,5.17615558,Upregulated,6.06852572505475
ANKRD45,5.0580927639999995,-0.8529909609999999,18.93651147,4.98e-05,0.0001195877551020408,19.839424453095734,13,3.248594265,Upregulated,3.922313286600636
ASPM,3.129677855,1.836088468,44.80680486,7.45e-09,6.412833333333333e-07,19.38193861938986,14,5.306074159,Upregulated,6.192950047055198
BUB1,3.12685327,2.728129778,43.48609751,1.1000000000000001e-08,7.386851851851851e-07,19.172427809492202,15,5.238665269,Upregulated,6.131540610951726
TEX50,5.9803872,-1.8703607340000001,13.9227802,0.00045197300000000004,0.000660374457781457,19.01888557991614,16,2.637859209,Upregulated,3.180209732894242
LOC102723407,4.350196361,3.638705538,22.83468586,1.13e-05,4.681807511737089e-05,18.834551201569344,17,3.588611269,Upregulated,4.329586445895457
HBQ1,-3.004469471,-0.082304282,43.50767091,1.1299999999999999e-08,7.386851851851851e-07,18.422026575801148,18,5.238665269,Downregulated,6.131540610951726
MELK,2.8977070119999997,0.862305193,47.4938891,3.3100000000000004e-09,4.883166666666668e-07,18.28829378098099,19,5.439333927000001,Upregulated,6.311298452619747
ENHO,-2.936169547,0.309570673,44.76080321,7.98e-09,5.949520833333334e-07,18.27917639636455,20,5.336173823,Downregulated,6.225518010375493
RRM2,2.9917797889999997,4.366749313,42.89763629,1.3e-08,7.912068965517241e-07,18.254972464471198,21,5.209893621,Upregulated,6.101709935868278
JCHAIN,3.9663186660000003,9.469478381,25.49821329,4.17e-06,2.695989010989011e-05,18.12322802015328,22,3.802463987,Upregulated,4.569281882343157
CDCA2,2.955081336,0.8352299940000001,41.62115938,1.88e-08,9.759411764705883e-07,17.761742014290398,23,5.1159818360000004,Upregulated,6.010576358054734
H2BC17,3.5942094210000004,1.7781270869999999,29.19977001,1.11e-06,1.2321698113207546e-05,17.64515810898075,24,4.096239700000001,Upregulated,4.909329435809953
KIF14,2.988304906,0.31698367899999996,39.28521383,3.63e-08,1.2990399999999998e-06,17.590290689915395,25,5.004916512,Upregulated,5.88637747593866
SKA3,2.876576439,0.39656648200000005,41.995495299999995,1.6100000000000002e-08,8.880156250000002e-07,17.407830699388153,26,5.157612138,Upregulated,6.051579392564215
KIF15,2.804193485,1.140777353,44.70983614,7.63e-09,6.370045454545455e-07,17.37438314763656,27,5.3078422530000005,Upregulated,6.195857468671268
