Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
ADAMTS2,9.038633562000001,4.7567756480000005,319.1612297,9.66e-14,2.972382e-10,86.1101162992613,1,8.909850681,Upregulated,9.526895377337048
MAOA,9.01823223,5.499252113,98.7017958,6.9799999999999995e-09,3.579576666666666e-07,58.133043007256084,2,5.828914564,Upregulated,6.446168331513024
IFI27,8.655775692999999,5.808807752000001,68.50387188,1.23e-07,1.4281924528301887e-06,50.594854910407456,3,5.2720318939999995,Upregulated,5.845213266249951
OLAH,7.9025935810000005,6.225096768999999,80.21190066,3.48e-08,7.436083333333334e-07,48.432275605133235,4,5.5235955070000005,Upregulated,6.12865575190121
EPCAM,6.612544657000001,2.1105582419999998,111.80690530000001,8.26e-10,1.1050443478260871e-07,46.000962345616394,5,6.339468735,Upregulated,6.956620292449752
FCER1A,-5.415120567000001,4.428368814,243.2324247,3.66e-12,5.63091e-09,44.67161156492137,6,7.632416636,Downregulated,8.249421414022112
PCSK9,8.510041445,0.908905627,45.74357109,1.97e-06,8.360951724137932e-06,43.21181430532999,7,4.539851948,Upregulated,5.077744284161942
CA12,5.164604273,1.35452193,179.49324009999998,3.92e-11,2.2051833333333337e-08,39.5430782113862,8,7.0398835779999995,Upregulated,7.656555298556599
TRIM64B,-6.942367504,-1.255488923,82.01856726,8.45e-07,4.673504488330341e-06,37.005299553371636,9,4.774411804,Downregulated,5.330357335887247
LRRN3,-6.019267051,4.166020442,76.35611354,5.32e-08,9.14505027932961e-07,36.34923355006209,10,5.44283076,Downregulated,6.038813902437386
SIGLEC8,-5.64956507,1.580011522,73.26439116,2.2200000000000004e-08,5.939947826086957e-07,35.175420169833075,11,5.616755184,Downregulated,6.226217369655514
PRSS33,-5.254113568,1.4240152480000001,78.50115719,1.82e-08,5.490333333333334e-07,32.892859345932806,12,5.651219536,Downregulated,6.260401287529384
KRT5,-6.431596847000001,-0.780041979,48.64935778,1.85e-06,7.939260808926081e-06,32.80255842733761,13,4.560625808999999,Downregulated,5.100219931017328
PTGDR2,-4.783515167,1.665944024,113.76332649999999,1.99e-09,1.80095e-07,32.26241012417247,14,6.127141707000001,Downregulated,6.74449834438509
CACNG6,-4.593659582,-0.75175179,75.252273,6.610000000000001e-10,9.685223809523811e-08,32.219424562848346,15,6.396634402,Downregulated,7.01389033900082
ALOX15,-5.636591237999999,2.863117079,62.22243067,2.4399999999999996e-07,2.2017243401759527e-06,31.887532823428717,16,5.086743254,Downregulated,5.65723705640631
ZNF608,4.844882913,6.342233012,103.1583314,4.73e-09,3.163958695652174e-07,31.490620709827894,17,5.882877185,Upregulated,6.499769194696304
CYP19A1,4.824249409,-0.46432840799999997,72.87433684,5.8e-09,3.367283018867924e-07,31.22601746682606,18,5.855699062,Upregulated,6.472720379790394
FOXC1,5.237426284,1.6030040540000001,69.89184350000001,9.41e-08,1.2268885593220338e-06,30.959447451617596,19,5.3343832980000006,Upregulated,5.9111948832953916
