Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
SDC1,5.021266261,0.919678268,29.87724613,6.13E-07,5.30E-05,21.47093414,1,4.275999922,Upregulated
IFI27,5.722158327,7.665741479,23.25604139,9.61E-06,0.00023946,20.71859839,2,3.620766362,Upregulated
OBSL1,-2.401887173,-1.810019183,77.0223752,2.69E-13,3.83E-09,20.21699652,3,8.417129975,Downregulated
TOP2A,3.412333599,3.254140003,57.58024256,2.10E-10,1.43E-06,19.94661194,4,5.845446045,Upregulated
IGF1,4.6106776,-0.655199533,30.19655901,5.44E-07,4.94E-05,19.85478079,5,4.306260926,Upregulated
GLDC,4.441529698,2.025871182,32.10579081,3.93E-07,4.21E-05,19.43445488,6,4.375621959,Upregulated
PBK,3.499632358,0.39748843,43.83311447,7.94E-09,4.74E-06,18.63252397,7,5.324137529,Upregulated
VMO1,-3.232977955,-0.964845761,49.87647409,1.02E-09,2.07E-06,18.37743193,8,5.684366606,Downregulated
KIF4A,3.313297624,0.851844403,47.17295217,3.43E-09,3.27E-06,18.1764323,9,5.485903883,Upregulated
HMMR,3.263854334,1.37911309,45.93905826,5.24E-09,4.19E-06,17.55344246,10,5.378132926,Upregulated
MCM10,3.298364815,0.790764974,42.41720011,1.40E-08,6.46E-06,17.11816755,11,5.189895148,Upregulated
DIAPH3,3.269657645,-0.684491247,40.75682363,1.50E-08,6.67E-06,16.92425666,12,5.17615558,Upregulated
ASPM,3.129677855,1.836088468,44.80680486,7.45E-09,4.94E-06,16.60630279,13,5.306074159,Upregulated
ANKRD45,5.058092764,-0.852990961,18.93651147,4.98E-05,0.000564164,16.43169115,14,3.248594265,Upregulated
BUB1,3.12685327,2.728129778,43.48609751,1.10E-08,5.77E-06,16.38053763,15,5.238665269,Upregulated
TEX50,5.9803872,-1.870360734,13.9227802,0.000451973,0.002302188,15.77541945,16,2.637859209,Upregulated
MELK,2.897707012,0.862305193,47.4938891,3.31E-09,3.64E-06,15.76159606,17,5.439333927,Upregulated
HBQ1,-3.004469471,-0.082304282,43.50767091,1.13E-08,5.77E-06,15.73940987,18,5.238665269,Downregulated
ENHO,-2.936169547,0.309570673,44.76080321,7.98E-09,4.61E-06,15.66791108,19,5.336173823,Downregulated
LOC102723407,4.350196361,3.638705538,22.83468586,1.13E-05,0.000257863,15.61116368,20,3.588611269,Upregulated
RRM2,2.991779789,4.366749313,42.89763629,1.30E-08,6.17E-06,15.58685444,21,5.209893621,Upregulated
CDCA2,2.955081336,0.835229994,41.62115938,1.88E-08,7.66E-06,15.11814244,22,5.115981836,Upregulated
JCHAIN,3.966318666,9.469478381,25.49821329,4.17E-06,0.000157593,15.08178389,23,3.802463987,Upregulated
KIF14,2.988304906,0.316983679,39.28521383,3.63E-08,9.89E-06,14.95621656,24,5.004916512,Upregulated
KIF15,2.804193485,1.140777353,44.70983614,7.63E-09,4.92E-06,14.88421667,25,5.307842253,Upregulated
SKA3,2.876576439,0.396566482,41.9954953,1.61E-08,6.96E-06,14.83626556,26,5.157612138,Upregulated
H2BC17,3.594209421,1.778127087,29.19977001,1.11E-06,8.01E-05,14.72274332,27,4.0962397,Upregulated
DLGAP5,2.929093309,1.782841169,40.45599861,2.78E-08,9.42E-06,14.72176778,28,5.026049439,Upregulated
CROCC2,-2.677580267,-1.016489768,46.01898304,4.12E-09,3.67E-06,14.55244523,29,5.434923993,Downregulated
