Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
OTOF,7.206452032,6.420714133,53.92960708,2.20E-09,1.43E-06,42.12250362,1,5.845109831,Upregulated
IFI27,7.754856947,6.070012618,47.11072763,1.21E-08,5.34E-06,40.88581582,2,5.272284983,Upregulated
SIGLEC1,4.836896928,8.273598938,88.63973493,1.75E-12,5.80E-09,39.83969088,3,8.23662184,Upregulated
IFI44L,4.676575339,10.840793,69.99480374,6.17E-11,1.17E-07,32.41702341,4,6.931786844,Upregulated
LY6E,3.702443127,8.378503809,94.73741693,6.06E-13,4.02E-09,31.08381565,5,8.395487679,Upregulated
FBXO39,3.70274723,1.42095579,67.90371557,9.88E-11,1.50E-07,25.26525013,6,6.823379659,Upregulated
TMPRSS2,4.648225267,-1.877232786,48.60307022,8.05E-09,3.82E-06,25.18447781,7,5.418084616,Upregulated
EPHB2,2.87805837,3.560314008,97.45525648,3.84E-13,4.02E-09,24.16270358,8,8.395487679,Upregulated
IFI44,3.653087639,9.998906781,63.36288382,2.52E-10,2.79E-07,23.94335287,9,6.554278253,Upregulated
OAS1,3.504661139,9.173617451,63.59858131,2.39E-10,2.79E-07,22.97052429,10,6.554278253,Upregulated
OAS3,3.805757646,10.66536136,56.92462186,1.08E-09,9.54E-07,22.91313675,11,6.02065052,Upregulated
RSAD2,4.499251288,10.19302853,42.86575758,3.63E-08,1.12E-05,22.27138796,12,4.950020911,Upregulated
CMPK2,3.753183673,8.118872949,53.78879155,2.26E-09,1.43E-06,21.93777079,13,5.845109831,Upregulated
SPATS2L,4.535720207,6.506669176,36.85506231,1.95E-07,3.60E-05,20.1559406,14,4.443823622,Upregulated
USP18,4.500603874,6.22472251,32.6719871,6.78E-07,7.50E-05,18.56379036,15,4.124733231,Upregulated
SMTNL1,3.950362236,6.342586364,39.25836609,9.82E-08,2.14E-05,18.44834207,16,4.670038079,Upregulated
ISG15,4.220451384,5.87370203,34.33117345,4.10E-07,5.51E-05,17.97580677,17,4.259214272,Upregulated
SERPING1,4.299462448,8.149299936,33.27845899,5.64E-07,6.74E-05,17.93372735,18,4.171155713,Upregulated
C1QC,4.356368755,1.164918398,30.39276063,1.34E-06,0.0001181,17.11072888,19,3.927750344,Upregulated
EPSTI1,3.010136946,8.376611681,51.7018966,3.75E-09,2.07E-06,17.10757119,20,5.683319895,Upregulated
HES4,3.481230458,-0.563759296,37.96126405,1.11E-07,2.33E-05,16.12681382,21,4.632503941,Upregulated
MX1,3.326760444,10.13687941,40.72003712,6.53E-08,1.58E-05,15.97600435,22,4.802270742,Upregulated
IFIT3,3.249792539,11.16090782,41.55302712,5.19E-08,1.38E-05,15.79558331,23,4.860489745,Upregulated
XAF1,2.722252143,10.21354481,52.71761813,2.92E-09,1.77E-06,15.6613603,24,5.753089529,Upregulated
AGRN,2.891391151,2.705884163,46.59937301,1.36E-08,5.15E-06,15.28978919,25,5.288039006,Upregulated
EIF2AK2,2.582364628,8.658094516,54.93262948,1.72E-09,1.20E-06,15.28797379,26,5.92014529,Upregulated
IFIT1,3.579413581,10.53574667,34.50792185,3.89E-07,5.44E-05,15.26368643,27,4.264298073,Upregulated
OAS2,3.050351585,9.956747801,43.64247421,2.95E-08,1.03E-05,15.21201088,28,4.986969684,Upregulated
IFITM3,3.074075448,9.288425519,41.30830187,5.55E-08,1.45E-05,14.87829662,29,4.839925653,Upregulated
