Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
PCSK9,7.179851773,2.384020684,46.14517238,2.16E-09,1.36E-07,49.30258448,6,6.866796981,Upregulated
TOP2A,3.961832098,3.785897144,84.18165327,4.61E-13,2.44E-10,38.08697941,11,9.613476409,Upregulated
RRM2,3.53231955,4.887626531,98.42335153,2.55E-14,2.80E-11,37.2754422,13,10.55268123,Upregulated
DIAPH3,3.804727803,-0.173845366,79.37398634,3.28E-13,1.87E-10,37.01524393,15,9.728749558,Upregulated
SDC1,5.746970012,1.637247132,41.43072136,1.16E-08,4.39E-07,36.53692513,17,6.357598013,Upregulated
MAOA,7.24730165,5.888321562,30.01094366,8.77E-07,1.09E-05,35.97051412,18,4.963297495,Upregulated
KIF4A,4.058284695,1.577320896,70.92539729,7.32E-12,1.71E-09,35.57893677,19,8.766988876,Upregulated
ASPM,3.617575255,2.308353041,87.41419395,2.37E-13,1.53E-10,35.50435034,20,9.814405461,Upregulated
MCM10,3.69950845,1.178814895,81.56396438,6.47E-13,2.97E-10,35.24383253,21,9.526625769,Upregulated
BUB1B,3.695194561,1.893953685,79.73371837,1.16E-12,4.48E-10,34.54486877,24,9.348592665,Upregulated
BUB1,3.587901489,3.172461685,83.84642075,4.98E-13,2.54E-10,34.42934159,25,9.5959551,Upregulated
HMMR,3.974457699,2.076010871,70.15565832,1.01E-11,2.20E-09,34.40545855,26,8.656642279,Upregulated
E2F8,3.811160188,1.123617251,73.73795731,3.51E-12,9.62E-10,34.36526576,27,9.01700901,Upregulated
KIF14,3.625174454,0.927623257,79.73481287,8.93E-13,3.86E-10,34.12652097,29,9.413759642,Upregulated
CDC25A,3.447815476,1.439475387,86.76133886,2.51E-13,1.56E-10,33.81668592,30,9.808148423,Upregulated
DEPDC1,3.875839945,1.083448657,68.23820768,1.23E-11,2.47E-09,33.36013384,31,8.607201101,Upregulated
INHBA,5.195467075,2.043053605,42.90775647,1.08E-08,4.13E-07,33.16849048,32,6.384121005,Upregulated
OLFM4,6.305671981,8.037805547,32.66538866,3.54E-07,5.52E-06,33.15589701,33,5.258106846,Upregulated
SHCBP1,3.282561224,2.858758485,90.89183907,1.16E-13,9.19E-11,32.94557052,34,10.03654411,Upregulated
MELK,3.376064753,1.322164772,85.70499331,3.11E-13,1.84E-10,32.86296914,35,9.734105105,Upregulated
DLGAP5,3.660623864,2.493839407,74.28768442,4.08E-12,1.10E-09,32.79834016,37,8.959767893,Upregulated
SPC25,3.676577914,0.896713486,72.24076117,4.75E-12,1.21E-09,32.78527924,38,8.917335634,Upregulated
MMP8,5.911289787,8.796917757,34.89599964,1.70E-07,3.18E-06,32.50026565,39,5.497999054,Upregulated
CDC6,3.052240054,2.590317742,95.77066084,4.42E-14,3.93E-11,31.75928047,41,10.40523678,Upregulated
NEK2,3.523785573,1.176556241,73.38632512,4.32E-12,1.14E-09,31.51424958,43,8.943293776,Upregulated
ANLN,4.11323244,2.144007265,58.39366515,1.82E-10,2.20E-08,31.495356,44,7.657081494,Upregulated
SKA3,3.471309549,0.97026322,74.70411707,3.03E-12,8.58E-10,31.47229399,45,9.066403773,Upregulated
DEPDC1B,3.424956024,1.608289938,76.01143093,2.66E-12,8.42E-10,31.07966805,46,9.07447215,Upregulated
CDCA2,3.51456957,1.378839382,71.10981493,7.75E-12,1.78E-09,30.75022036,47,8.749356001,Upregulated
PBK,3.851932102,0.749305915,60.19220089,8.10E-11,1.18E-08,30.54167347,49,7.928923114,Upregulated
