Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
ADAMTS2,9.038633562,4.756775648,319.1612297,9.66E-14,1.23E-09,80.5328754,1,8.909850681,Upregulated
MAOA,9.01823223,5.499252113,98.7017958,6.98E-09,1.48E-06,52.56650519,2,5.828914564,Upregulated
IFI27,8.655775693,5.808807752,68.50387188,1.23E-07,5.35E-06,45.63352553,3,5.272031894,Upregulated
OLAH,7.902593581,6.225096769,80.21190066,3.48E-08,3.00E-06,43.6507304,4,5.523595507,Upregulated
EPCAM,6.612544657,2.110558242,111.8069053,8.26E-10,4.58E-07,41.92002011,5,6.339468735,Upregulated
PCSK9,8.510041445,0.908905627,45.74357109,1.97E-06,2.89E-05,38.63432824,7,4.539851948,Upregulated
CA12,5.164604273,1.35452193,179.4932401,3.92E-11,9.12E-08,36.35821281,8,7.039883578,Upregulated
ZNF608,4.844882913,6.342233012,103.1583314,4.73E-09,1.31E-06,28.50185116,17,5.882877185,Upregulated
CYP19A1,4.824249409,-0.464328408,72.87433684,5.80E-09,1.39E-06,28.24935274,18,5.855699062,Upregulated
TPST1,4.406038,6.680044638,129.4809183,7.47E-10,4.33E-07,28.0400553,19,6.364006688,Upregulated
FOXC1,5.237426284,1.603004054,69.8918435,9.41E-08,4.63E-06,27.93843929,20,5.334383298,Upregulated
ALOX15B,5.136398384,3.107306493,71.67165945,8.32E-08,4.46E-06,27.48180077,21,5.350402893,Upregulated
DAAM2,5.514703835,6.885294118,56.6679553,4.48E-07,1.15E-05,27.24316585,23,4.940095909,Upregulated
SAP30,4.589923601,5.14835296,100.5798524,5.79E-09,1.39E-06,26.87721133,24,5.855699062,Upregulated
GLDN,4.624645744,0.783032561,79.26419013,3.18E-08,2.98E-06,25.55380668,26,5.525570627,Upregulated
SFRP2,4.240011223,-0.427087033,90.76968964,3.08E-09,1.03E-06,25.38167031,28,5.986227153,Upregulated
MMP8,4.698811162,6.118140781,72.94647159,7.00E-08,4.07E-06,25.32738036,29,5.390167745,Upregulated
GRB10,4.415484385,6.74649141,91.96294541,1.18E-08,1.88E-06,25.28722996,30,5.726943583,Upregulated
RNF175,3.309028474,5.921503115,207.4887927,1.39E-11,5.91E-08,23.91801641,33,7.228108372,Upregulated
IL18R1,4.167378948,8.818316868,90.73830696,1.31E-08,1.91E-06,23.83197057,34,5.718695339,Upregulated
SFRP1,4.7737198,0.874798276,55.85998097,4.26E-07,1.12E-05,23.6421461,35,4.952562592,Upregulated
TMIGD3,4.666238369,4.322456999,61.06356158,2.62E-07,8.60E-06,23.63638001,36,5.065403467,Upregulated
RNASE1,5.33007906,3.569034531,43.07580743,3.03E-06,3.83E-05,23.54145872,37,4.416718487,Upregulated
SLC9A4,4.09049604,-1.589186183,60.74235992,1.24E-08,1.86E-06,23.4377951,38,5.72981733,Upregulated
ABCC11,4.770985036,0.78358259,54.15301015,5.06E-07,1.23E-05,23.41916328,39,4.908664165,Upregulated
SLC1A3,4.594771203,3.299890899,60.02268111,2.99E-07,9.44E-06,23.08927913,42,5.025120536,Upregulated
IL1R2,4.089704332,9.988826829,82.36860873,2.77E-08,2.69E-06,22.77810696,44,5.569621936,Upregulated
PRL,4.538672213,-0.131663821,49.92369907,4.54E-07,1.15E-05,22.41702056,45,4.93911424,Upregulated
VSIG4,4.539367082,5.690612839,54.48357472,5.92E-07,1.34E-05,22.11573101,46,4.871985589,Upregulated
CAPN13,4.126616379,1.267319074,70.84340164,9.59E-08,4.67E-06,21.999017,49,5.331006077,Upregulated
PIP,4.111608045,-0.206392794,61.49751663,1.38E-07,5.73E-06,21.5529964,50,5.241987117,Upregulated
ARG1,4.085525244,7.600052784,66.40435389,1.41E-07,5.77E-06,21.40450997,51,5.239108485,Upregulated
PPARG,4.16043321,0.499896433,62.54699548,2.09E-07,7.40E-06,21.34615907,52,5.130753937,Upregulated
C5orf47,3.703428966,-0.057538627,90.03466828,1.20E-08,1.84E-06,21.24072584,53,5.735421426,Upregulated
SCRG1,3.880022887,1.391985459,77.77737793,4.67E-08,3.40E-06,21.21871686,54,5.4687092,Upregulated
EPSTI1,3.849136859,8.308521692,76.73508517,4.77E-08,3.41E-06,21.04312037,56,5.466971205,Upregulated
IFI44L,4.739256068,9.45793447,42.88121431,3.07E-06,3.87E-05,20.91082668,58,4.412259303,Upregulated
SIGLEC1,4.838926273,6.884644216,40.86871595,4.22E-06,4.78E-05,20.90596428,59,4.320372559,Upregulated
CHIT1,3.812528004,3.551944832,77.30159337,4.52E-08,3.39E-06,20.85460101,60,5.470019102,Upregulated
PFKFB2,3.668162235,8.452760309,86.67624669,1.87E-08,2.25E-06,20.71386881,61,5.646933666,Upregulated
