"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneSymbols"
"GO:0002181","cytoplasmic translation","78/1667","165/18986",0.472727272727273,5.38404319136173,17.5471724169884,8.81943612265983e-39,4.95916893177162e-35,4.7244326766543e-35,"6181/6234/6137/6142/6132/23521/6217/25873/6176/6157/6209/6223/6169/6232/6141/6224/6187/6206/1936/6161/6147/6191/6208/6122/6227/25946/11224/6158/6144/6193/8666/6135/6136/6168/6204/6143/6146/6205/6188/6194/6235/6173/6189/6133/6228/6222/6233/9045/6218/6230/4736/27335/3921/6134/6202/6165/2197/6159/6170/6152/6164/6154/6156/8665/6175/6128/7311/6124/9349/6129/6210/6125/6229/10399/6203/6160/6155/6231",78,"RPLP2, RPS28, RPL13, RPL18A, RPL8, RPL13A, RPS16, RPL36, RPLP1, RPL27A, RPS15, RPS19, RPL38, RPS27, RPL18, RPS20, RPS2, RPS12, EEF1D, RPL32, RPL23A, RPS4X, RPS14, RPL3, RPS21, ZNF385A, RPL35, RPL28, RPL21, RPS5, EIF3G, RPL11, RPL12, RPL37A, RPS10, RPL19, RPL22, RPS11, RPS3, RPS6, RPS29, RPL36A, RPS3A, RPL9, RPS23, RPS18, RPS27A, RPL14, RPS17, RPS25, RPL10A, EIF3K, RPSA, RPL10, RPS8, RPL35A, FAU, RPL29, RPL39, RPL24, RPL34, RPL26, RPL30, EIF3F, RPLP0, RPL6, UBA52, RPL4, RPL23, RPL7, RPS15A, RPL5, RPS24, RACK1, RPS9, RPL31, RPL27, RPS26"
"GO:0042254","ribosome biogenesis","72/1667","317/18986",0.227129337539432,2.58684919167586,8.83927107696892,3.3808130579253e-14,9.50515591235698e-11,9.05524086935887e-11,"6234/29997/6217/2091/6209/6223/6169/6232/27043/6206/6191/6208/6227/11224/6193/56342/56915/6135/6205/23246/6194/388524/54663/10607/6189/6228/6233/23481/9045/6218/6230/27341/3921/65095/6202/6165/2197/54913/9136/113000/79050/55011/317781/6152/79033/6154/55272/26155/79922/9277/57109/81887/55178/6129/6210/55651/57418/51116/6125/51042/6229/51367/2068/85395/6203/57647/6155/83743/79039/115939/10514/8568",72,"RPS28, NOP53, RPS16, FBL, RPS15, RPS19, RPL38, RPS27, PELP1, RPS12, RPS4X, RPS14, RPS21, RPL35, RPS5, PPAN, EXOSC5, RPL11, RPS11, BOP1, RPS6, RPSA2, WDR74, TBL3, RPS3A, RPS23, RPS27A, PES1, RPL14, RPS17, RPS25, RRP7A, RPSA, KRI1, RPS8, RPL35A, FAU, RPP25, RRP9, RPUSD1, NOC4L, PIH1D1, DDX51, RPL24, ERI3, RPL26, IMP3, NOC2L, MRM1, WDR46, REXO4, LAS1L, MRM3, RPL7, RPS15A, NHP2, WDR18, MRPS2, RPL5, ZNF593, RPS24, POP5, ERCC2, SLX9, RPS9, DHX37, RPL27, GRWD1, DDX54, TSR3, MYBBP1A, RRP1"
"GO:0050863","regulation of T cell activation","81/1667","393/18986",0.206106870229008,2.34741753939289,8.3740477190755,2.40535441255317e-13,4.50843595392883e-10,4.29503459841512e-10,"3565/2625/6441/1947/916/7535/923/257101/920/972/3115/3932/3620/3113/27040/339390/914/146850/3123/921/7480/9840/975/50943/3118/3108/27240/11126/6932/3120/55423/6188/3902/11277/8764/84861/6347/3109/56253/1236/3117/8379/22914/23308/3127/100528032/8744/6352/6375/5133/3965/6647/9479/2648/201633/3111/64926/126259/430/3122/283234/864/23513/64410/51561/6666/1840/10859/959/56603/30835/3119/3956/84433/940/939/30009/51176/3575/1178/7784",81,"IL4, GATA3, SFTPD, EFNB1, CD3E, ZAP70, CD6, ZNF683, CD4, CD74, HLA-DPB1, LCK, IDO1, HLA-DPA1, LAT, CLEC4G, CD2, PIK3R6, HLA-DRB1, CD5, WNT10B, TESPA1, CD81, FOXP3, HLA-DQA2, HLA-DMA, SIT1, CD160, TCF7, HLA-DQB2, SIRPG, RPS3, LAG3, TREX1, TNFRSF14, KLHL22, CCL2, HLA-DMB, CRTAM, CCR7, HLA-DQA1, MAD1L1, KLRK1, ICOSLG, HLA-DRB5, KLRC4-KLRK1, TNFSF9, CCL5, XCL1, PDCD1, LGALS9, SOD1, MAPK8IP1, KAT2A, TIGIT, HLA-DOA, RASAL3, TMIGD2, ASCL2, HLA-DRA, CCDC88B, RUNX3, SCRIB, KLHL25, IL23A, SOX12, DTX1, LILRB1, CD40LG, CYP26B1, CD209, HLA-DQB1, LGALS1, CARD11, CD28, CD27, TBX21, LEF1, IL7R, CLC, ZP3"
"GO:0042274","ribosomal small subunit biogenesis","35/1667","108/18986",0.324074074074074,3.69098402541714,8.70075021794783,3.70280993932323e-12,5.20522507220363e-09,4.9588420476884e-09,"6234/6217/2091/6209/6223/6232/6206/6191/6208/6227/6193/6205/6194/388524/10607/6189/6228/6233/6218/6230/27341/3921/65095/6202/2197/9136/55272/9277/6210/6229/2068/85395/6203/57647/115939",35,"RPS28, RPS16, FBL, RPS15, RPS19, RPS27, RPS12, RPS4X, RPS14, RPS21, RPS5, RPS11, RPS6, RPSA2, TBL3, RPS3A, RPS23, RPS27A, RPS17, RPS25, RRP7A, RPSA, KRI1, RPS8, FAU, RRP9, IMP3, WDR46, RPS15A, RPS24, ERCC2, SLX9, RPS9, DHX37, TSR3"
"GO:0006364","rRNA processing","53/1667","225/18986",0.235555555555556,2.68281810304606,7.87793035677931,1.90414221737095e-11,2.14139833765537e-08,2.04003784088437e-08,"6234/29997/6217/2091/6209/6223/6232/27043/6208/6227/11224/56342/56915/6135/23246/6194/54663/10607/23481/9045/6218/6230/27341/65095/6202/6165/54913/9136/113000/79050/55011/317781/79033/6154/55272/79922/9277/57109/81887/55178/6129/55651/57418/6125/6229/51367/2068/85395/57647/6155/79039/115939/8568",53,"RPS28, NOP53, RPS16, FBL, RPS15, RPS19, RPS27, PELP1, RPS14, RPS21, RPL35, PPAN, EXOSC5, RPL11, BOP1, RPS6, WDR74, TBL3, PES1, RPL14, RPS17, RPS25, RRP7A, KRI1, RPS8, RPL35A, RPP25, RRP9, RPUSD1, NOC4L, PIH1D1, DDX51, ERI3, RPL26, IMP3, MRM1, WDR46, REXO4, LAS1L, MRM3, RPL7, NHP2, WDR18, RPL5, RPS24, POP5, ERCC2, SLX9, DHX37, RPL27, DDX54, TSR3, RRP1"
"GO:0050870","positive regulation of T cell activation","58/1667","260/18986",0.223076923076923,2.54069493793549,7.76055023800635,2.29790429298553e-11,2.15351930657627e-08,2.05158507842164e-08,"3565/2625/1947/916/7535/923/920/972/3115/3932/3113/146850/3123/921/7480/9840/975/50943/3118/3108/11126/3120/55423/6188/8764/84861/6347/3109/1236/3117/22914/23308/3127/100528032/8744/6352/6375/3965/3111/64926/126259/3122/283234/864/64410/51561/6666/10859/959/30835/3119/3956/84433/940/939/51176/3575/7784",58,"IL4, GATA3, EFNB1, CD3E, ZAP70, CD6, CD4, CD74, HLA-DPB1, LCK, HLA-DPA1, PIK3R6, HLA-DRB1, CD5, WNT10B, TESPA1, CD81, FOXP3, HLA-DQA2, HLA-DMA, CD160, HLA-DQB2, SIRPG, RPS3, TNFRSF14, KLHL22, CCL2, HLA-DMB, CCR7, HLA-DQA1, KLRK1, ICOSLG, HLA-DRB5, KLRC4-KLRK1, TNFSF9, CCL5, XCL1, LGALS9, HLA-DOA, RASAL3, TMIGD2, HLA-DRA, CCDC88B, RUNX3, KLHL25, IL23A, SOX12, LILRB1, CD40LG, CD209, HLA-DQB1, LGALS1, CARD11, CD28, CD27, LEF1, IL7R, ZP3"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","60/1667","284/18986",0.211267605633803,2.40619481737455,7.40751144595711,1.09699571483921e-10,8.81200986362985e-08,8.39490404934851e-08,"3565/2625/1947/916/7535/923/920/972/3115/3932/3113/8631/146850/3123/921/7480/9840/975/50943/3118/3108/11126/3120/55423/6188/8764/84861/6347/3109/1236/3117/22914/23308/3127/100528032/8744/6352/6375/3965/7124/3111/64926/126259/3122/283234/864/64410/51561/6666/10859/959/30835/3119/3956/84433/940/939/51176/3575/7784",60,"IL4, GATA3, EFNB1, CD3E, ZAP70, CD6, CD4, CD74, HLA-DPB1, LCK, HLA-DPA1, SKAP1, PIK3R6, HLA-DRB1, CD5, WNT10B, TESPA1, CD81, FOXP3, HLA-DQA2, HLA-DMA, CD160, HLA-DQB2, SIRPG, RPS3, TNFRSF14, KLHL22, CCL2, HLA-DMB, CCR7, HLA-DQA1, KLRK1, ICOSLG, HLA-DRB5, KLRC4-KLRK1, TNFSF9, CCL5, XCL1, LGALS9, TNF, HLA-DOA, RASAL3, TMIGD2, HLA-DRA, CCDC88B, RUNX3, KLHL25, IL23A, SOX12, LILRB1, CD40LG, CD209, HLA-DQB1, LGALS1, CARD11, CD28, CD27, LEF1, IL7R, ZP3"
"GO:0022613","ribonucleoprotein complex biogenesis","87/1667","492/18986",0.176829268292683,2.01396549958301,7.06971648187949,1.78397759500335e-10,1.25391325208798e-07,1.19456078697001e-07,"6234/29997/23521/6217/2091/6209/6223/6169/6232/27043/6206/54496/6191/6208/6227/11224/6193/56342/8666/56915/6135/6205/8175/23246/6194/388524/54663/26121/10607/6189/6228/6233/23481/9045/6218/6230/27341/27335/3921/65095/6202/10078/55702/6165/2197/54913/9136/113000/79050/55011/317781/6152/79033/6154/55272/26155/24148/8665/79922/6895/9277/57109/81887/55178/6129/6210/55651/57418/6633/51116/6125/51042/6229/51367/2068/85395/121053/6203/57647/25804/6155/10856/83743/79039/115939/10514/8568",87,"RPS28, NOP53, RPL13A, RPS16, FBL, RPS15, RPS19, RPL38, RPS27, PELP1, RPS12, PRMT7, RPS4X, RPS14, RPS21, RPL35, RPS5, PPAN, EIF3G, EXOSC5, RPL11, RPS11, SF3A2, BOP1, RPS6, RPSA2, WDR74, PRPF31, TBL3, RPS3A, RPS23, RPS27A, PES1, RPL14, RPS17, RPS25, RRP7A, EIF3K, RPSA, KRI1, RPS8, TSSC4, YJU2, RPL35A, FAU, RPP25, RRP9, RPUSD1, NOC4L, PIH1D1, DDX51, RPL24, ERI3, RPL26, IMP3, NOC2L, PRPF6, EIF3F, MRM1, TARBP2, WDR46, REXO4, LAS1L, MRM3, RPL7, RPS15A, NHP2, WDR18, SNRPD2, MRPS2, RPL5, ZNF593, RPS24, POP5, ERCC2, SLX9, NOPCHAP1, RPS9, DHX37, LSM4, RPL27, RUVBL2, GRWD1, DDX54, TSR3, MYBBP1A, RRP1"
"GO:0016072","rRNA metabolic process","57/1667","268/18986",0.212686567164179,2.42235582734199,7.27541257665823,2.44194967346681e-10,1.34658947868465e-07,1.28285029662498e-07,"6234/29997/6217/2091/6209/6223/6232/27043/6208/6227/11224/56342/56915/6135/23246/6194/55506/6949/54663/10607/64425/23481/9045/6218/6230/27341/65095/6202/6165/54913/9136/113000/2972/79050/55011/317781/79033/6154/55272/79922/9277/57109/81887/55178/6129/55651/57418/6125/6229/51367/2068/85395/57647/6155/79039/115939/8568",57,"RPS28, NOP53, RPS16, FBL, RPS15, RPS19, RPS27, PELP1, RPS14, RPS21, RPL35, PPAN, EXOSC5, RPL11, BOP1, RPS6, MACROH2A2, TCOF1, WDR74, TBL3, POLR1E, PES1, RPL14, RPS17, RPS25, RRP7A, KRI1, RPS8, RPL35A, RPP25, RRP9, RPUSD1, BRF1, NOC4L, PIH1D1, DDX51, ERI3, RPL26, IMP3, MRM1, WDR46, REXO4, LAS1L, MRM3, RPL7, NHP2, WDR18, RPL5, RPS24, POP5, ERCC2, SLX9, DHX37, RPL27, DDX54, TSR3, RRP1"
"GO:0002399","MHC class II protein complex assembly","12/1667","16/18986",0.75,8.54199160167966,9.36319492880704,2.63426716441955e-10,1.34658947868465e-07,1.28285029662498e-07,"3115/3113/3123/3118/3108/3120/3109/3117/3127/3111/3122/3119",12,"HLA-DPB1, HLA-DPA1, HLA-DRB1, HLA-DQA2, HLA-DMA, HLA-DQB2, HLA-DMB, HLA-DQA1, HLA-DRB5, HLA-DOA, HLA-DRA, HLA-DQB1"
