"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneSymbols"
"GO:0002181","cytoplasmic translation","52/685","165/18986",0.315151515151515,8.73498783454988,19.306050404445,9.635913182341e-35,4.10778978963197e-31,3.8208931534609e-31,"6189/6144/6208/6233/6194/6133/6164/6206/6156/6228/6210/6125/6224/6230/6128/6161/6232/6129/6154/6170/6147/6134/6139/23521/6204/6222/6188/6207/6143/6201/6160/6138/6135/4736/6124/6165/6202/6136/6181/6218/7311/6146/6122/6137/6157/6142/51386/6235/3921/6217/6191/55124",52,"RPS3A, RPL21, RPS14, RPS27A, RPS6, RPL9, RPL34, RPS12, RPL30, RPS23, RPS15A, RPL5, RPS20, RPS25, RPL6, RPL32, RPS27, RPL7, RPL26, RPL39, RPL23A, RPL10, RPL17, RPL13A, RPS10, RPS18, RPS3, RPS13, RPL19, RPS7, RPL31, RPL15, RPL11, RPL10A, RPL4, RPL35A, RPS8, RPL12, RPLP2, RPS17, UBA52, RPL22, RPL3, RPL13, RPL27A, RPL18A, EIF3L, RPS29, RPSA, RPS16, RPS4X, PIWIL2"
"GO:0030217","T cell differentiation","43/685","320/18986",0.134375,3.72444343065693,9.50912002613119,9.6621710246789e-14,2.05949175391031e-10,1.91565253947186e-10,"149233/6097/6194/7480/7471/1880/3815/51561/6146/3122/1235/916/2625/915/64919/56253/6095/925/9840/2841/84101/940/8320/387357/51176/814/3932/3111/920/10803/914/6932/3575/10125/6775/4063/917/3123/257101/3702/1236/2302/3821",43,"IL23R, RORC, RPS6, WNT10B, WNT1, GPR183, KIT, IL23A, RPL22, HLA-DRA, CCR6, CD3E, GATA3, CD3D, BCL11B, CRTAM, RORA, CD8A, TESPA1, GPR18, USP44, CD28, EOMES, THEMIS, LEF1, CAMK4, LCK, HLA-DOA, CD4, CCR9, CD2, TCF7, IL7R, RASGRP1, STAT4, LY9, CD3G, HLA-DRB1, ZNF683, ITK, CCR7, FOXJ1, KLRC1"
"GO:0030098","lymphocyte differentiation","47/685","426/18986",0.110328638497653,3.05795551900209,8.31122372899606,9.61258488380789e-12,1.0941088660974e-08,1.01769401301009e-08,"149233/6097/6194/7480/7471/1880/3815/51561/6146/3122/1235/916/2625/915/64919/56253/959/6095/925/9840/2841/84101/940/8320/387357/51176/814/3932/3111/920/10803/914/6932/3575/10125/6775/4063/917/3123/9452/257101/3702/1236/2302/931/3821/25793",47,"IL23R, RORC, RPS6, WNT10B, WNT1, GPR183, KIT, IL23A, RPL22, HLA-DRA, CCR6, CD3E, GATA3, CD3D, BCL11B, CRTAM, CD40LG, RORA, CD8A, TESPA1, GPR18, USP44, CD28, EOMES, THEMIS, LEF1, CAMK4, LCK, HLA-DOA, CD4, CCR9, CD2, TCF7, IL7R, RASGRP1, STAT4, LY9, CD3G, HLA-DRB1, ITM2A, ZNF683, ITK, CCR7, FOXJ1, MS4A1, KLRC1, FBXO7"
"GO:0031341","regulation of cell killing","23/685","112/18986",0.205357142857143,5.69184045881126,9.63459465718007,1.02660930433723e-11,1.0941088660974e-08,1.01769401301009e-08,"3820/1776/149233/911/259197/913/4068/51561/3122/22914/100528032/11126/56253/6375/3075/3575/10125/6372/2208/3123/3822/8302/3821",23,"KLRB1, DNASE1L3, IL23R, CD1C, NCR3, CD1E, SH2D1A, IL23A, HLA-DRA, KLRK1, KLRC4-KLRK1, CD160, CRTAM, XCL1, CFH, IL7R, RASGRP1, CXCL6, FCER2, HLA-DRB1, KLRC2, KLRC4, KLRC1"
"GO:0001910","regulation of leukocyte mediated cytotoxicity","21/685","98/18986",0.214285714285714,5.9393117831074,9.48417737593161,3.47779525549959e-11,2.96516823483895e-08,2.75807467946673e-08,"3820/1776/149233/911/259197/913/4068/51561/3122/22914/100528032/11126/56253/6375/3575/10125/6372/3123/3822/8302/3821",21,"KLRB1, DNASE1L3, IL23R, CD1C, NCR3, CD1E, SH2D1A, IL23A, HLA-DRA, KLRK1, KLRC4-KLRK1, CD160, CRTAM, XCL1, IL7R, RASGRP1, CXCL6, HLA-DRB1, KLRC2, KLRC4, KLRC1"
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","41/685","369/18986",0.111111111111111,3.07964314679643,7.80477394715693,1.68882438915528e-10,1.19990972849483e-07,1.11610552174525e-07,"2205/259197/6188/785/3115/3815/4068/926/9572/59338/8631/916/2625/915/22914/257144/100528032/11126/925/9840/9214/940/131450/387357/53347/5063/3932/5583/27242/917/2208/3123/257101/919/3822/8302/3702/1236/931/3821/50852",41,"FCER1A, NCR3, RPS3, CACNB4, HLA-DPB1, KIT, SH2D1A, CD8B, NR1D1, PLEKHA1, SKAP1, CD3E, GATA3, CD3D, KLRK1, GCSAM, KLRC4-KLRK1, CD160, CD8A, TESPA1, FCMR, CD28, CD200R1, THEMIS, UBASH3A, PAK3, LCK, PRKCH, TNFRSF21, CD3G, FCER2, HLA-DRB1, ZNF683, CD247, KLRC2, KLRC4, ITK, CCR7, MS4A1, KLRC1, TRAT1"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","35/685","284/18986",0.123239436619718,3.41580137760872,7.9357786238452,2.29101814427591e-10,1.28507306701296e-07,1.19532087446148e-07,"149233/7480/6188/3115/51561/3113/3122/3109/3120/8631/916/2625/22914/100528032/11126/1803/959/3118/6375/9840/940/55423/51176/3932/3111/920/2113/30835/3575/10125/921/3123/923/1236/3117",35,"IL23R, WNT10B, RPS3, HLA-DPB1, IL23A, HLA-DPA1, HLA-DRA, HLA-DMB, HLA-DQB2, SKAP1, CD3E, GATA3, KLRK1, KLRC4-KLRK1, CD160, DPP4, CD40LG, HLA-DQA2, XCL1, TESPA1, CD28, SIRPG, LEF1, LCK, HLA-DOA, CD4, ETS1, CD209, IL7R, RASGRP1, CD5, HLA-DRB1, CD6, CCR7, HLA-DQA1"
"GO:0031343","positive regulation of cell killing","18/685","78/18986",0.230769230769231,6.39618192026951,9.23898502156354,2.41158445604122e-10,1.28507306701296e-07,1.19532087446148e-07,"149233/911/259197/913/4068/51561/3122/22914/100528032/11126/56253/6375/10125/2208/3123/3822/8302/3821",18,"IL23R, CD1C, NCR3, CD1E, SH2D1A, IL23A, HLA-DRA, KLRK1, KLRC4-KLRK1, CD160, CRTAM, XCL1, RASGRP1, FCER2, HLA-DRB1, KLRC2, KLRC4, KLRC1"
"GO:0050870","positive regulation of T cell activation","33/685","260/18986",0.126923076923077,3.51790005614823,7.90889533051008,3.48049999944019e-10,1.64859683306817e-07,1.53345537987031e-07,"149233/7480/6188/3115/51561/3113/3122/3109/3120/916/2625/22914/100528032/11126/1803/959/3118/6375/9840/940/55423/51176/3932/3111/920/30835/3575/10125/921/3123/923/1236/3117",33,"IL23R, WNT10B, RPS3, HLA-DPB1, IL23A, HLA-DPA1, HLA-DRA, HLA-DMB, HLA-DQB2, CD3E, GATA3, KLRK1, KLRC4-KLRK1, CD160, DPP4, CD40LG, HLA-DQA2, XCL1, TESPA1, CD28, SIRPG, LEF1, LCK, HLA-DOA, CD4, CD209, IL7R, RASGRP1, CD5, HLA-DRB1, CD6, CCR7, HLA-DQA1"
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","17/685","71/18986",0.23943661971831,6.63641410506837,9.20538741001363,4.1014691901866e-10,1.74845631577655e-07,1.62634046730873e-07,"149233/911/259197/913/4068/51561/3122/22914/100528032/11126/56253/6375/10125/3123/3822/8302/3821",17,"IL23R, CD1C, NCR3, CD1E, SH2D1A, IL23A, HLA-DRA, KLRK1, KLRC4-KLRK1, CD160, CRTAM, XCL1, RASGRP1, HLA-DRB1, KLRC2, KLRC4, KLRC1"
