"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneSymbols"
"GO:0000280","nuclear division","81/665","451/18986",0.17960088691796,5.12767284063818,16.9020265508493,6.91073005172017e-35,3.14852861156371e-31,2.77229391864269e-31,"3479/7153/24137/259266/699/157313/9928/221150/56992/9787/701/54443/57405/4288/983/220134/1063/4751/9319/7272/146909/57082/64151/22974/3832/81930/83903/51203/83540/1062/9700/9133/23397/286151/3833/8900/991/11130/11144/55143/332/5888/5347/84057/11004/891/113130/10635/29128/2491/9055/6790/83990/11065/10615/151648/675/55055/26271/1950/4605/858/79598/138474/9493/54908/284071/1111/55125/10592/80010/8555/92421/5925/122402/54892/147841/10388/2069/64105/84072",81,"IGF1, TOP2A, KIF4A, ASPM, BUB1, CDCA2, KIF14, SKA3, KIF15, DLGAP5, BUB1B, ANLN, SPC25, MKI67, CDK1, SKA1, CENPF, NEK2, TRIP13, TTK, KIF18B, KNL1, NCAPG, TPX2, KIF11, KIF18A, HASPIN, NUSAP1, NUF2, CENPE, ESPL1, CCNB2, NCAPH, FBXO43, KIFC1, CCNA1, CDC20, ZWINT, DMC1, CDCA8, BIRC5, RAD51, PLK1, MND1, KIF2C, CCNB1, CDCA5, RAD51AP1, UHRF1, CENPI, PRC1, AURKA, BRIP1, UBE2C, SPAG5, SGO1, BRCA2, ZWILCH, FBXO5, EGF, MYBL2, CAV2, CEP97, TAF1L, KIF23, SPDL1, MEIOC, CHEK1, CEP192, SMC2, RMI1, CDC14B, CHMP4C, RB1, TDRD9, NCAPG2, SPC24, SYCP2, EREG, CENPK, HORMAD1"
"GO:0140014","mitotic nuclear division","64/665","282/18986",0.226950354609929,6.47951794379566,17.662053532045,7.04669728475244e-34,1.60523764146661e-30,1.41341912379955e-30,"3479/24137/699/157313/9928/221150/56992/9787/701/54443/57405/4288/983/220134/1063/4751/9319/7272/146909/57082/64151/22974/3832/81930/83903/51203/83540/1062/9700/23397/286151/3833/991/11130/55143/332/5347/11004/891/113130/29128/2491/9055/6790/11065/10615/55055/26271/1950/4605/858/79598/9493/54908/1111/55125/10592/8555/92421/5925/54892/147841/2069/64105",64,"IGF1, KIF4A, BUB1, CDCA2, KIF14, SKA3, KIF15, DLGAP5, BUB1B, ANLN, SPC25, MKI67, CDK1, SKA1, CENPF, NEK2, TRIP13, TTK, KIF18B, KNL1, NCAPG, TPX2, KIF11, KIF18A, HASPIN, NUSAP1, NUF2, CENPE, ESPL1, NCAPH, FBXO43, KIFC1, CDC20, ZWINT, CDCA8, BIRC5, PLK1, KIF2C, CCNB1, CDCA5, UHRF1, CENPI, PRC1, AURKA, UBE2C, SPAG5, ZWILCH, FBXO5, EGF, MYBL2, CAV2, CEP97, KIF23, SPDL1, CHEK1, CEP192, SMC2, CDC14B, CHMP4C, RB1, NCAPG2, SPC24, EREG, CENPK"
"GO:0007059","chromosome segregation","77/665","429/18986",0.179487179487179,5.12442645074224,16.4618963034183,3.72857718511438e-33,5.66246588512704e-30,4.98582724648102e-30,"7153/24137/81624/259266/699/157313/9928/221150/56992/9787/701/157570/57405/4288/990/55355/983/220134/1063/4751/9319/7272/146909/57082/64151/22974/3832/81930/6491/83903/51203/83540/1062/9700/9133/23397/3833/991/11130/11144/55143/332/5347/84057/11004/891/113130/29128/2491/9055/6790/83990/11065/10615/81610/151648/55055/26271/4605/79598/9493/151246/54908/284071/672/55125/10592/1894/11339/92421/5925/54892/147841/10388/5359/64105/84072",77,"TOP2A, KIF4A, DIAPH3, ASPM, BUB1, CDCA2, KIF14, SKA3, KIF15, DLGAP5, BUB1B, ESCO2, SPC25, MKI67, CDC6, HJURP, CDK1, SKA1, CENPF, NEK2, TRIP13, TTK, KIF18B, KNL1, NCAPG, TPX2, KIF11, KIF18A, STIL, HASPIN, NUSAP1, NUF2, CENPE, ESPL1, CCNB2, NCAPH, KIFC1, CDC20, ZWINT, DMC1, CDCA8, BIRC5, PLK1, MND1, KIF2C, CCNB1, CDCA5, UHRF1, CENPI, PRC1, AURKA, BRIP1, UBE2C, SPAG5, FAM83D, SGO1, ZWILCH, FBXO5, MYBL2, CEP97, KIF23, SGO2, SPDL1, MEIOC, BRCA1, CEP192, SMC2, ECT2, OIP5, CHMP4C, RB1, NCAPG2, SPC24, SYCP2, PLSCR1, CENPK, HORMAD1"
"GO:0098813","nuclear chromosome segregation","67/665","324/18986",0.20679012345679,5.90393576533927,16.9621039926651,8.55991231584059e-33,9.74974012774243e-30,8.58469100938644e-30,"7153/24137/259266/699/9928/221150/56992/9787/701/57405/990/983/220134/1063/4751/9319/7272/146909/57082/64151/22974/3832/81930/83903/51203/83540/1062/9700/9133/23397/3833/991/11130/11144/55143/332/5347/84057/11004/891/113130/29128/2491/9055/6790/83990/11065/10615/81610/151648/55055/26271/4605/79598/9493/54908/284071/55125/10592/1894/92421/5925/54892/147841/10388/64105/84072",67,"TOP2A, KIF4A, ASPM, BUB1, KIF14, SKA3, KIF15, DLGAP5, BUB1B, SPC25, CDC6, CDK1, SKA1, CENPF, NEK2, TRIP13, TTK, KIF18B, KNL1, NCAPG, TPX2, KIF11, KIF18A, HASPIN, NUSAP1, NUF2, CENPE, ESPL1, CCNB2, NCAPH, KIFC1, CDC20, ZWINT, DMC1, CDCA8, BIRC5, PLK1, MND1, KIF2C, CCNB1, CDCA5, UHRF1, CENPI, PRC1, AURKA, BRIP1, UBE2C, SPAG5, FAM83D, SGO1, ZWILCH, FBXO5, MYBL2, CEP97, KIF23, SPDL1, MEIOC, CEP192, SMC2, ECT2, CHMP4C, RB1, NCAPG2, SPC24, SYCP2, CENPK, HORMAD1"
"GO:0000070","mitotic sister chromatid segregation","53/665","194/18986",0.27319587628866,7.79984497325789,18.136559735366,1.56312031593275e-32,1.42431523187792e-29,1.25411611031994e-29,"24137/699/9928/221150/56992/9787/701/57405/983/220134/1063/4751/9319/7272/146909/57082/64151/22974/3832/81930/83903/51203/83540/1062/9700/23397/3833/991/11130/55143/332/5347/11004/891/113130/29128/2491/9055/11065/10615/55055/26271/4605/79598/9493/54908/55125/10592/92421/5925/54892/147841/64105",53,"KIF4A, BUB1, KIF14, SKA3, KIF15, DLGAP5, BUB1B, SPC25, CDK1, SKA1, CENPF, NEK2, TRIP13, TTK, KIF18B, KNL1, NCAPG, TPX2, KIF11, KIF18A, HASPIN, NUSAP1, NUF2, CENPE, ESPL1, NCAPH, KIFC1, CDC20, ZWINT, CDCA8, BIRC5, PLK1, KIF2C, CCNB1, CDCA5, UHRF1, CENPI, PRC1, UBE2C, SPAG5, ZWILCH, FBXO5, MYBL2, CEP97, KIF23, SPDL1, CEP192, SMC2, CHMP4C, RB1, NCAPG2, SPC24, CENPK"
"GO:0000819","sister chromatid segregation","55/665","235/18986",0.234042553191489,6.68200287953927,16.6980093437898,5.94993965760562e-30,4.51798751334187e-27,3.97810877809386e-27,"7153/24137/699/9928/221150/56992/9787/701/57405/990/983/220134/1063/4751/9319/7272/146909/57082/64151/22974/3832/81930/83903/51203/83540/1062/9700/23397/3833/991/11130/55143/332/5347/11004/891/113130/29128/2491/9055/11065/10615/55055/26271/4605/79598/9493/54908/55125/10592/92421/5925/54892/147841/64105",55,"TOP2A, KIF4A, BUB1, KIF14, SKA3, KIF15, DLGAP5, BUB1B, SPC25, CDC6, CDK1, SKA1, CENPF, NEK2, TRIP13, TTK, KIF18B, KNL1, NCAPG, TPX2, KIF11, KIF18A, HASPIN, NUSAP1, NUF2, CENPE, ESPL1, NCAPH, KIFC1, CDC20, ZWINT, CDCA8, BIRC5, PLK1, KIF2C, CCNB1, CDCA5, UHRF1, CENPI, PRC1, UBE2C, SPAG5, ZWILCH, FBXO5, MYBL2, CEP97, KIF23, SPDL1, CEP192, SMC2, CHMP4C, RB1, NCAPG2, SPC24, CENPK"
"GO:1905818","regulation of chromosome separation","30/665","77/18986",0.38961038961039,11.1235230934479,16.9583773825933,5.08035739764527e-24,3.30658690052455e-21,2.91146496878588e-21,"699/221150/9787/701/57405/220134/1063/9319/7272/57082/64151/83903/83540/9700/23397/991/11130/55143/332/5347/891/11065/55055/26271/54908/10592/5925/54892/147841/5359",30,"BUB1, SKA3, DLGAP5, BUB1B, SPC25, SKA1, CENPF, TRIP13, TTK, KNL1, NCAPG, HASPIN, NUF2, ESPL1, NCAPH, CDC20, ZWINT, CDCA8, BIRC5, PLK1, CCNB1, UBE2C, ZWILCH, FBXO5, SPDL1, SMC2, RB1, NCAPG2, SPC24, PLSCR1"
"GO:0007088","regulation of mitotic nuclear division","36/665","121/18986",0.297520661157025,8.49432672590567,15.7557267139141,7.38040385554505e-24,4.20313999573291e-21,3.70088409124766e-21,"3479/699/157313/221150/9787/701/57405/4288/220134/1063/4751/9319/7272/57082/83903/51203/83540/9700/286151/991/11130/55143/332/5347/891/6790/11065/55055/26271/1950/858/54908/1111/5925/147841/2069",36,"IGF1, BUB1, CDCA2, SKA3, DLGAP5, BUB1B, SPC25, MKI67, SKA1, CENPF, NEK2, TRIP13, TTK, KNL1, HASPIN, NUSAP1, NUF2, ESPL1, FBXO43, CDC20, ZWINT, CDCA8, BIRC5, PLK1, CCNB1, AURKA, UBE2C, ZWILCH, FBXO5, EGF, CAV2, SPDL1, CHEK1, RB1, SPC24, EREG"
"GO:0051783","regulation of nuclear division","39/665","151/18986",0.258278145695364,7.3739381566499,14.9814911756102,3.09067641678267e-23,1.56456908387354e-20,1.37761027185482e-20,"3479/699/157313/221150/9787/701/57405/4288/220134/1063/4751/9319/7272/57082/83903/51203/83540/9700/286151/991/11130/55143/332/5347/891/10635/6790/11065/55055/26271/1950/858/54908/1111/5925/147841/10388/2069/84072",39,"IGF1, BUB1, CDCA2, SKA3, DLGAP5, BUB1B, SPC25, MKI67, SKA1, CENPF, NEK2, TRIP13, TTK, KNL1, HASPIN, NUSAP1, NUF2, ESPL1, FBXO43, CDC20, ZWINT, CDCA8, BIRC5, PLK1, CCNB1, RAD51AP1, AURKA, UBE2C, ZWILCH, FBXO5, EGF, CAV2, SPDL1, CHEK1, RB1, SPC24, SYCP2, EREG, HORMAD1"
"GO:0051983","regulation of chromosome segregation","37/665","135/18986",0.274074074074074,7.82491785018101,15.1613771693858,4.29815396982463e-23,1.9582389486521e-20,1.72423839778965e-20,"699/157313/221150/9787/701/57405/4288/990/983/220134/1063/9319/7272/57082/64151/83903/83540/1062/9700/23397/991/11130/55143/332/5347/11004/891/11065/55055/26271/54908/10592/5925/54892/147841/5359/84072",37,"BUB1, CDCA2, SKA3, DLGAP5, BUB1B, SPC25, MKI67, CDC6, CDK1, SKA1, CENPF, TRIP13, TTK, KNL1, NCAPG, HASPIN, NUF2, CENPE, ESPL1, NCAPH, CDC20, ZWINT, CDCA8, BIRC5, PLK1, KIF2C, CCNB1, UBE2C, ZWILCH, FBXO5, SPDL1, SMC2, RB1, NCAPG2, SPC24, PLSCR1, HORMAD1"
"GO:0051304","chromosome separation","30/665","84/18986",0.357142857142857,10.1965628356606,16.0935866319374,1.03146277638342e-22,4.2721312810935e-20,3.76163123521263e-20,"699/221150/9787/701/57405/220134/1063/9319/7272/57082/64151/83903/83540/9700/23397/991/11130/55143/332/5347/891/11065/55055/26271/54908/10592/5925/54892/147841/5359",30,"BUB1, SKA3, DLGAP5, BUB1B, SPC25, SKA1, CENPF, TRIP13, TTK, KNL1, NCAPG, HASPIN, NUF2, ESPL1, NCAPH, CDC20, ZWINT, CDCA8, BIRC5, PLK1, CCNB1, UBE2C, ZWILCH, FBXO5, SPDL1, SMC2, RB1, NCAPG2, SPC24, PLSCR1"
"GO:0000075","cell cycle checkpoint signaling","42/665","203/18986",0.206896551724138,5.90697433238268,13.3912421087026,6.39454164554574e-21,2.42779431142553e-18,2.13768405361183e-18,"699/221150/701/57405/51514/63967/990/983/220134/1063/9319/7272/57082/8318/83903/83540/144455/4998/991/11130/90381/55143/332/5888/5347/891/51512/83990/675/1763/55055/54908/672/1111/8555/92421/147841/4683/10388/1869/83666/84072",42,"BUB1, SKA3, BUB1B, SPC25, DTL, CLSPN, CDC6, CDK1, SKA1, CENPF, TRIP13, TTK, KNL1, CDC45, HASPIN, NUF2, E2F7, ORC1, CDC20, ZWINT, TICRR, CDCA8, BIRC5, RAD51, PLK1, CCNB1, GTSE1, BRIP1, BRCA2, DNA2, ZWILCH, SPDL1, BRCA1, CHEK1, CDC14B, CHMP4C, SPC24, NBN, SYCP2, E2F1, PARP9, HORMAD1"
"GO:0010965","regulation of mitotic sister chromatid separation","25/665","62/18986",0.403225806451613,11.5122483628426,15.7952507266646,1.13905013450327e-20,3.99193262522839e-18,3.51491503043884e-18,"699/221150/9787/701/57405/220134/1063/9319/7272/57082/83903/83540/9700/991/11130/55143/332/5347/891/11065/55055/26271/54908/5925/147841",25,"BUB1, SKA3, DLGAP5, BUB1B, SPC25, SKA1, CENPF, TRIP13, TTK, KNL1, HASPIN, NUF2, ESPL1, CDC20, ZWINT, CDCA8, BIRC5, PLK1, CCNB1, UBE2C, ZWILCH, FBXO5, SPDL1, RB1, SPC24"
"GO:1901987","regulation of cell cycle phase transition","64/665","479/18986",0.133611691022964,3.81466400866467,11.8868789488881,1.86662948061524e-20,6.07454565263074e-18,5.34866537640954e-18,"699/6241/9928/221150/9787/701/54443/57405/993/51514/63967/990/983/220134/1063/9319/7272/57082/8318/6491/83903/3624/83540/1062/9700/144455/4998/991/11130/90381/55143/332/5888/5347/891/113130/51512/6790/8317/83990/11065/81610/4921/675/1763/55055/26271/54908/672/1111/5962/8555/92421/5128/5925/1543/5218/147841/4683/8444/10388/1869/83666/84072",64,"BUB1, RRM2, KIF14, SKA3, DLGAP5, BUB1B, ANLN, SPC25, CDC25A, DTL, CLSPN, CDC6, CDK1, SKA1, CENPF, TRIP13, TTK, KNL1, CDC45, STIL, HASPIN, INHBA, NUF2, CENPE, ESPL1, E2F7, ORC1, CDC20, ZWINT, TICRR, CDCA8, BIRC5, RAD51, PLK1, CCNB1, CDCA5, GTSE1, AURKA, CDC7, BRIP1, UBE2C, FAM83D, DDR2, BRCA2, DNA2, ZWILCH, FBXO5, SPDL1, BRCA1, CHEK1, RDX, CDC14B, CHMP4C, CDK17, RB1, CYP1A1, CDK14, SPC24, NBN, DYRK3, SYCP2, E2F1, PARP9, HORMAD1"
