"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneSymbols"
"GO:0051607","defense response to virus","69/1468","320/18986",0.215625,2.78873041553134,9.34157957697028,3.4526725956363e-15,1.97665506100178e-11,1.5558833033599e-11,"3429/10964/91543/10346/4938/8638/7097/2537/51191/117854/3434/4599/6036/3437/4940/5359/55601/11274/91351/83666/84282/9447/4939/566/200315/8519/5610/9636/51251/81030/29110/7706/64135/3428/2633/3627/3600/64343/64108/56829/8780/834/10269/10581/9582/197259/6039/10410/54541/9755/8772/4615/3460/7128/3433/2634/6773/151636/4600/24138/246778/282618/3588/171389/6772/6737/5371/3665/115362",69,"IFI27, IFI44L, RSAD2, TRIM22, OAS1, OASL, TLR2, IFI6, HERC5, TRIM6, IFIT1, MX1, RNASE2, IFIT3, OAS3, PLSCR1, DDX60, USP18, DDX60L, PARP9, RNF135, AIM2, OAS2, AZU1, APOBEC3A, IFITM1, EIF2AK2, ISG15, NT5C3A, ZBP1, TBK1, TRIM25, IFIH1, IFI16, GBP1, CXCL10, IL15, AZI2, RTP4, ZC3HAV1, RIOK3, CASP1, ZMPSTE24, IFITM2, APOBEC3B, MLKL, RNASE6, IFITM3, DDIT4, TBKBP1, FADD, MYD88, IFNGR2, TNFAIP3, IFIT2, GBP2, STAT2, DTX3L, MX2, IFIT5, IL27, IFNL1, IL10RB, NLRP6, STAT1, TRIM21, PML, IRF7, GBP5"
"GO:0009615","response to virus","82/1468","425/18986",0.192941176470588,2.49535502484372,9.02535226313153,7.16950267793517e-15,2.05227014155894e-11,1.61540215601266e-11,"3429/10964/91543/10561/11213/10346/4938/8638/7097/2537/51191/117854/3434/4599/6036/3437/4940/5359/55601/11274/91351/83666/84282/9447/1432/4939/566/200315/8519/5610/3717/9636/51251/81030/29110/7706/64135/9111/3428/2633/10542/3627/3600/64343/64108/56829/1147/8780/834/10269/10581/9582/197259/6039/3459/10410/54541/9755/8772/4615/3460/2131/7128/602/3433/2634/6773/23765/151636/4600/24138/246778/1191/282618/3588/171389/6772/6737/3091/5371/3665/115362",82,"IFI27, IFI44L, RSAD2, IFI44, IRAK3, TRIM22, OAS1, OASL, TLR2, IFI6, HERC5, TRIM6, IFIT1, MX1, RNASE2, IFIT3, OAS3, PLSCR1, DDX60, USP18, DDX60L, PARP9, RNF135, AIM2, MAPK14, OAS2, AZU1, APOBEC3A, IFITM1, EIF2AK2, JAK2, ISG15, NT5C3A, ZBP1, TBK1, TRIM25, IFIH1, NMI, IFI16, GBP1, LAMTOR5, CXCL10, IL15, AZI2, RTP4, ZC3HAV1, CHUK, RIOK3, CASP1, ZMPSTE24, IFITM2, APOBEC3B, MLKL, RNASE6, IFNGR1, IFITM3, DDIT4, TBKBP1, FADD, MYD88, IFNGR2, EXT1, TNFAIP3, BCL3, IFIT2, GBP2, STAT2, IL17RA, DTX3L, MX2, IFIT5, IL27, CLU, IFNL1, IL10RB, NLRP6, STAT1, TRIM21, HIF1A, PML, IRF7, GBP5"
"GO:0002237","response to molecule of bacterial origin","75/1468","375/18986",0.2,2.5866485013624,8.98333453057365,1.48274741705936e-14,2.82957632088827e-11,2.22724269909863e-11,"4317/4057/1669/129607/11213/4129/671/6279/3148/7097/117854/6590/3586/23643/4353/100133941/55122/5737/4792/1511/820/1432/2920/19/8754/2048/57162/3717/5581/10221/6868/81793/114769/2204/4318/1906/2921/7855/3248/3627/6403/7431/64127/25819/57088/834/1051/5473/51510/717/29126/4615/1604/80380/1869/7128/133/2634/4016/1268/54209/8767/706/5054/6556/10318/2876/10804/7099/249/196/64332/22843/115362/5196",75,"MMP8, LTF, DEFA4, CMPK2, IRAK3, MAOB, BPI, S100A8, HMGB2, TLR2, TRIM6, SLPI, IL10, LY96, MPO, CD24, AKIRIN2, PTGFR, NFKBIA, CTSG, CAMP, MAPK14, CXCL2, ABCA1, ADAM9, EPHB2, PELI1, JAK2, PRKCE, TRIB1, ADAM17, TLR10, CARD16, FCAR, MMP9, EDN1, CXCL3, FZD5, HPGD, CXCL10, SELP, VIM, NOD2, NOCT, PLSCR4, CASP1, CEBPB, PPBP, CHMP5, C2, CD274, MYD88, CD55, PDCD1LG2, E2F1, TNFAIP3, ADM, GBP2, LOXL1, CNR1, TREM2, RIPK2, TSPO, SERPINE1, SLC11A1, TNIP1, GPX1, GJB6, TLR4, ALPL, AHR, NFKBIZ, PPM1E, GBP5, PF4"
"GO:0045088","regulation of innate immune response","86/1468","470/18986",0.182978723404255,2.36650820337411,8.68387680433539,3.78227212916278e-14,5.41337698486423e-11,4.26102815393312e-11,"57413/11326/383/5468/91543/8807/4057/11213/6279/26253/3148/2069/4938/8638/7097/5608/117854/710/6280/23643/55122/4792/4940/5359/55601/11274/83666/84282/9447/4671/857/7100/57162/5610/9212/9636/5581/81030/80216/9958/81793/121260/29110/3106/7706/57142/64135/9111/634/3428/56829/1147/64127/387837/1378/54625/8780/834/10906/3105/92610/10211/29126/8772/4615/118788/7128/2634/6773/54502/54209/8767/149095/3430/2810/10318/7099/171389/27293/6737/5292/115727/58484/64332/3665/115362",86,"TMIGD3, VSIG4, ARG1, PPARG, RSAD2, IL18RAP, LTF, IRAK3, S100A8, CLEC4E, HMGB2, EREG, OAS1, OASL, TLR2, MAP2K6, TRIM6, SERPING1, S100A9, LY96, AKIRIN2, NFKBIA, OAS3, PLSCR1, DDX60, USP18, PARP9, RNF135, AIM2, NAIP, CAV1, TLR5, PELI1, EIF2AK2, AURKB, ISG15, PRKCE, ZBP1, ALPK1, USP15, TLR10, SLC15A4, TBK1, HLA-B, TRIM25, RTN4, IFIH1, NMI, CEACAM1, IFI16, ZC3HAV1, CHUK, NOD2, CLEC12B, CR1, PARP14, RIOK3, CASP1, TRAFD1, HLA-A, TIFA, FLOT1, CD274, FADD, MYD88, PIK3AP1, TNFAIP3, GBP2, STAT2, RBM47, TREM2, RIPK2, DCST1, IFI35, SFN, TNIP1, TLR4, NLRP6, SMPDL3B, TRIM21, PIM1, RASGRP4, NLRC4, NFKBIZ, IRF7, GBP5"
"GO:0032496","response to lipopolysaccharide","71/1468","354/18986",0.200564971751412,2.59395541803291,8.76343018302949,6.53288071054091e-14,7.48014841356934e-11,5.88784469933171e-11,"4317/4057/1669/129607/11213/4129/671/6279/3148/7097/117854/6590/3586/23643/4353/55122/5737/4792/1511/820/1432/2920/19/8754/2048/57162/3717/5581/10221/6868/114769/2204/4318/1906/2921/3248/3627/6403/7431/64127/25819/57088/834/1051/5473/51510/717/29126/4615/1604/80380/1869/7128/133/2634/4016/1268/54209/8767/706/5054/6556/10318/2876/10804/7099/249/64332/22843/115362/5196",71,"MMP8, LTF, DEFA4, CMPK2, IRAK3, MAOB, BPI, S100A8, HMGB2, TLR2, TRIM6, SLPI, IL10, LY96, MPO, AKIRIN2, PTGFR, NFKBIA, CTSG, CAMP, MAPK14, CXCL2, ABCA1, ADAM9, EPHB2, PELI1, JAK2, PRKCE, TRIB1, ADAM17, CARD16, FCAR, MMP9, EDN1, CXCL3, HPGD, CXCL10, SELP, VIM, NOD2, NOCT, PLSCR4, CASP1, CEBPB, PPBP, CHMP5, C2, CD274, MYD88, CD55, PDCD1LG2, E2F1, TNFAIP3, ADM, GBP2, LOXL1, CNR1, TREM2, RIPK2, TSPO, SERPINE1, SLC11A1, TNIP1, GPX1, GJB6, TLR4, ALPL, NFKBIZ, PPM1E, GBP5, PF4"
"GO:0007088","regulation of mitotic nuclear division","37/1468","121/18986",0.305785123966942,3.95479316324003,9.43881411680783,1.40445736734505e-13,1.34008640467507e-10,1.05482140168494e-10,"2069/332/991/157313/995/4751/220134/57405/9787/699/3479/9700/221150/9212/4288/9319/3643/701/55143/1906/11065/9587/1843/51203/891/1950/5347/286151/7272/7039/11130/10419/83540/1111/858/147841/1063",37,"EREG, BIRC5, CDC20, CDCA2, CDC25C, NEK2, SKA1, SPC25, DLGAP5, BUB1, IGF1, ESPL1, SKA3, AURKB, MKI67, TRIP13, INSR, BUB1B, CDCA8, EDN1, UBE2C, MAD2L1BP, DUSP1, NUSAP1, CCNB1, EGF, PLK1, FBXO43, TTK, TGFA, ZWINT, PRMT5, NUF2, CHEK1, CAV2, SPC24, CENPF"
"GO:0140014","mitotic nuclear division","60/1468","282/18986",0.212765957446809,2.75175372485361,8.5793902779559,4.10272881677269e-13,2.97264417476012e-10,2.33985561243816e-10,"2069/332/54443/24137/991/157313/995/4751/220134/57405/9787/9928/146909/113130/699/3479/9700/221150/22974/9212/983/4288/25978/200942/9319/3643/701/55143/1906/11065/9587/56992/3833/1843/148479/51203/891/9493/1950/5347/4605/286151/137886/55968/11004/51510/7272/3832/81620/7039/11130/64151/10419/83540/1111/858/29781/23397/147841/1063",60,"EREG, BIRC5, ANLN, KIF4A, CDC20, CDCA2, CDC25C, NEK2, SKA1, SPC25, DLGAP5, KIF14, KIF18B, CDCA5, BUB1, IGF1, ESPL1, SKA3, TPX2, AURKB, CDK1, MKI67, CHMP2B, KLHDC8B, TRIP13, INSR, BUB1B, CDCA8, EDN1, UBE2C, MAD2L1BP, KIF15, KIFC1, DUSP1, PHF13, NUSAP1, CCNB1, KIF23, EGF, PLK1, MYBL2, FBXO43, UBXN2B, NSFL1C, KIF2C, CHMP5, TTK, KIF11, CDT1, TGFA, ZWINT, NCAPG, PRMT5, NUF2, CHEK1, CAV2, NCAPH2, NCAPH, SPC24, CENPF"
"GO:0045071","negative regulation of viral genome replication","24/1468","55/18986",0.436363636363636,5.64359673024523,9.98332320141203,4.15391325730671e-13,2.97264417476012e-10,2.33985561243816e-10,"91543/4057/4938/8638/117854/6590/3434/4599/4940/5359/4939/6732/200315/8519/5610/9636/64135/3428/56829/10581/9582/10410/24138/10318",24,"RSAD2, LTF, OAS1, OASL, TRIM6, SLPI, IFIT1, MX1, OAS3, PLSCR1, OAS2, SRPK1, APOBEC3A, IFITM1, EIF2AK2, ISG15, IFIH1, IFI16, ZC3HAV1, IFITM2, APOBEC3B, IFITM3, IFIT5, TNIP1"
"GO:0051783","regulation of nuclear division","41/1468","151/18986",0.271523178807947,3.51167511774365,8.97005677997264,5.70180076246727e-13,3.41289559189921e-10,2.68639044429704e-10,"2069/332/991/157313/995/4751/220134/57405/9787/699/3479/9700/221150/9212/4288/9319/3643/7320/701/55143/1906/11065/9587/1843/51203/891/1950/5347/286151/7272/84072/7039/11130/10635/10419/83540/1111/858/5139/147841/1063",41,"EREG, BIRC5, CDC20, CDCA2, CDC25C, NEK2, SKA1, SPC25, DLGAP5, BUB1, IGF1, ESPL1, SKA3, AURKB, MKI67, TRIP13, INSR, UBE2B, BUB1B, CDCA8, EDN1, UBE2C, MAD2L1BP, DUSP1, NUSAP1, CCNB1, EGF, PLK1, FBXO43, TTK, HORMAD1, TGFA, ZWINT, RAD51AP1, PRMT5, NUF2, CHEK1, CAV2, PDE3A, SPC24, CENPF"
"GO:0000280","nuclear division","81/1468","451/18986",0.17960088691796,2.32282182494849,8.23037067003276,5.96138968017329e-13,3.41289559189921e-10,2.68639044429704e-10,"8900/2069/332/54443/9133/24137/991/157313/995/4751/220134/57405/9787/9928/146909/113130/699/5728/130951/3479/9700/221150/10744/22974/9212/122402/983/4288/25978/200942/9319/11144/3643/259266/7320/701/55143/1906/11065/7153/9587/56992/63946/3833/1843/1164/148479/3622/51203/891/9493/1950/5347/4605/286151/137886/55968/11004/51510/7272/84057/84072/3832/81620/7039/11130/64151/10635/10419/83540/728637/1111/858/9985/5888/29781/23397/5139/147841/1063/100130958",81,"CCNA1, EREG, BIRC5, ANLN, CCNB2, KIF4A, CDC20, CDCA2, CDC25C, NEK2, SKA1, SPC25, DLGAP5, KIF14, KIF18B, CDCA5, BUB1, PTEN, M1AP, IGF1, ESPL1, SKA3, PTTG2, TPX2, AURKB, TDRD9, CDK1, MKI67, CHMP2B, KLHDC8B, TRIP13, DMC1, INSR, ASPM, UBE2B, BUB1B, CDCA8, EDN1, UBE2C, TOP2A, MAD2L1BP, KIF15, DMRTC2, KIFC1, DUSP1, CKS2, PHF13, ING2, NUSAP1, CCNB1, KIF23, EGF, PLK1, MYBL2, FBXO43, UBXN2B, NSFL1C, KIF2C, CHMP5, TTK, MND1, HORMAD1, KIF11, CDT1, TGFA, ZWINT, NCAPG, RAD51AP1, PRMT5, NUF2, MEIKIN, CHEK1, CAV2, REC8, RAD51, NCAPH2, NCAPH, PDE3A, SPC24, CENPF, SYCE1L"
