Strain,name,p_value,-log10(p-value),intersection_size,term_size,query_size
Original_NonICU,Eukaryotic Translation Elongation,2.4031559309116473e-32,31.619218048697803,57,94,1025
Original_NonICU,Viral mRNA Translation,2.096775264501391e-31,30.67844811537027,55,90,1025
Original_NonICU,Peptide chain elongation,2.096775264501391e-31,30.67844811537027,55,90,1025
Original_NonICU,Selenocysteine synthesis,3.677040959423869e-31,30.43450153239584,56,94,1025
Original_NonICU,Eukaryotic Translation Termination,5.3803265699859295e-30,29.269191363136862,55,94,1025
Original_NonICU,Formation of a pool of free 40S subunits,1.1719448706685366e-29,28.931092817437015,57,102,1025
Original_NonICU,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),2.4890310363735656e-29,28.603969688027107,55,96,1025
Original_NonICU,Response of EIF2AK4 (GCN2) to amino acid deficiency,1.796814397929064e-27,26.745496781053628,55,102,1025
Original_NonICU,L13a-mediated translational silencing of Ceruloplasmin expression,9.040038538287286e-27,26.043829718094344,57,112,1025
Original_NonICU,GTP hydrolysis and joining of the 60S ribosomal subunit,1.6638247401721006e-26,25.77889242226692,57,113,1025
